section_id	section_title_en	description_en
113	Oreshnik as a Rung on the Escalation Ladder	Oreshnik as an intermediate rung between conventional violence and the nuclear threshold.
114	Two Missiles — Three Readings of One Number	The number two unpacked into three competing interpretations.
115	X. Prediction Register — Real-Time Calibration	Ongoing accounting for tactical, structural and doctrinal forecasts.
116	Short-Term Tactical Predictions	Short-term, falsifiable forecasts of specific events and their ongoing evaluation.
117	Structural Predictions	Forecasts of changes in system state rather than individual hits.
118	External Predictions — Calibration Against Independent Clocks	Independent external clocks used to calibrate the autumn 2026 thesis.
119	Operational Prediction — High-Voltage Substation Campaign (July–September 2026)	A hypothesis of a systematic campaign against UES substations in July–September 2026.
120	Why Substations, Not Power Plants	Substations as less heavily defended network targets that are harder to replace.
121	Tempo — One Every Two Weeks as the Optimal Cadence	A fortnightly tempo: adaptation without regeneration and control of cascade risk.
122	Camouflage in the Thicket of the Campaign	Substation strikes hidden within packages of other targets and the campaign's information noise.
123	The Impossibility of Constructing a Single Escalation Moment	Salami slicing prevents the identification of one credible escalation threshold.
124	Projected State of the UES on 18 September 2026 — Operational Accounting for P6	A nominal projection of cumulative UES shortfall after six campaign cycles.
125	The Doctrine in Ten Points — the P6 Manifesto	A ten-point, falsifiable operational manifesto for prediction P6.
126	XI. Kolumbryna vs Reality — Audit of the Forecast After Two Months	A confrontation between Kolumbryna's March hypotheses and data from May and June.
127	The Bestiary After Two Months — 24 Rhinos	Status of the 24 rhinos after two months: what accelerated, was confirmed or remains pending.
128	The Remaining Bestiary Categories — Elephant, Flamingos, Swans, Tigers	A revision of the elephant, flamingos, swans and tigers outside the main rhino list.
129	Where May Jumped a Category	Places where May moved a process from forecast into a new qualitative category.
130	Convergence of the Clocks — Forecast Revision	Independent timing indicators converging around the end of 2026.
131	Patrimonial Gridlock — Why Decay Does Not Produce Immediate Collapse	Clientelist networks explain regime stability despite mounting decay.
132	Audit Conclusion	Kolumbryna's direction holds and the tempo is faster; the system-level “suddenly” has not arrived yet.
133	Absence Detection as an OSINT Method — a Meta-Reflection on the Method Itself	The disappearance of data and metrics as an independent OSINT signal.
134	The AuDHD Neurocognitive Profile and Mottron's Enhanced Perceptual Functioning	A hypothesis linking cognitive profile to the ability to detect missing elements in a pattern.
135	Deliberately Repeating an Irreversible Error — an Institutional Pattern	Institutions repeat costly mistakes despite explicit knowledge of their consequences.
136	XII. Petrol Stations and the Fuel Market — Seven Overlapping Shortages	Seven parallel failures, from refining to retail, create a structural fuel deficit.
137	Chronology — from August 2025 to Coupons	From the first disruptions in 2025 to fuel rationing in 2026.
138	Link 1 — Refining: Refineries Offline	Refining throughput falls as refineries are repeatedly shut down and destroyed.
139	Link 2 — Substitution: Imports from Belarus as a Band-Aid	Belarusian imports soften shortages but cannot replace lost Russian capacity.
140	Link 3 — Transmission: Pipelines Under Fire Control	Fuel transmission constrained by strikes on pumping stations and pipelines.
141	Link 4 — Rail: Systemic Decay Plus Partisans	Railways are overloaded by their own degradation, the war and sabotage.
142	Link 5 — Roads: Road Tankers Are Too Small	Road tanker transport lacks the scale required to replace railways and pipelines.
143	Link 6 — Storage: Tanks Are Burning	Strikes on storage tanks remove reserves and buffering capacity from the fuel system.
144	Link 7 — Retail: Coupons, Queues, Self-Exposure	Coupons, queues and limits as the consumer-facing endpoint of the fuel cascade.
145	XIII. Mother Nature Is Not Letting Russia Off — Climate Change as a Coherent Pressure Vector	Climate as an independent and growing vector of pressure on Russian infrastructure and public finances.
146	Climate Asymmetry — Why Russia, Not Ukraine or Europe	Russia's geography and infrastructure make the cost of climate change especially asymmetric.
147	Permafrost — 7 Trillion Rubles Already Written into the 2050 Balance Sheet	Permafrost thaw as a multi-trillion-ruble cost for infrastructure and resource extraction.
148	The 2009–2012 Freeze on Knowledge — Bibliography, Doctrine as Façade, Laws as a Gag	The chilling effect after 2009–2012 cuts Russia off from its own climate knowledge.
149	Infrastructure on Ground That Is Disappearing — Railways, Peat, the BAM as Phases of a Cycle	Railways, pipelines and foundations destabilised by different forms of degrading permafrost.
150	Mining Spoil Heaps as the Terrestrial Analogue — from Wałbrzych to Bovanenkovo	Burning spoil heaps as an analogy for the physics of hidden fire in peat and permafrost.
151	Droughts, Floods, Fires in 2025 — a Structural Change in the Map	Droughts, floods and fires reshape Russia's infrastructure risk map.
152	Summer 2026 Cascade — Power-Plant Cooling, Energy Deficit, Transmission Constraints	Drought and heat constrain power-plant cooling and deepen the power deficit.
153	Cascade Gradient — Three Formalised Paths from Climate to the Budget	Three pathways translating climate pressure into energy, logistics and fiscal effects.
154	Implications for the Kolumbryna Audit and Clock Calibration	Climate as an additional clock accelerating earlier systemic forecasts.
155	XIV. Energy — a Grid Without Redundancy, the Physics of the Russian System Under Pressure	Physics, topology and sanctions expose the fragility of Russia's energy system.
156	Yamal Stranded Assets — Gas with No Way Out	Yamal gas loses value without sufficient export and transmission routes.
157	The Rankine Cycle — Cooling Physics That Rivers Stop Providing	Low and warm river flows constrain cooling at thermal and nuclear power plants.
158	Aluminium Smelters and Military-Industrial Cannibalism	Electricity and raw-material shortages hit the aluminium needed by Russia's defence industry.
159	UES Topology — Seven Zones Without Meaningful Interconnection	Seven UES zones are linked by transmission corridors that are too narrow.
160	No Emergency Imports — a Eurasian Island Without a Neighbour	The Russian grid has negligible capacity for emergency electricity imports from neighbouring systems.
161	The Grid of Occupied Territories — Crimea Being Cut Off in the Thicket	Strikes on the occupied-territory grid gradually cut off Crimea and its military rear.
162	The Paradox of Soviet Redundancy — Quantitative Excess, Directional Rigidity	A lot of infrastructure does not mean redundancy when flows are directionally rigid.
163	Synthesis — Why Climate Can Cook the Grid Without Drones	Climate and topology alone can push the UES into chronic shortages.
164	XV. Index of People — Who Is Who in This Document	An index of people and roles needed to navigate a long document.
165	Ukraine — Politics and Intelligence	The principal Ukrainian politicians and intelligence figures appearing in the analysis.
166	Ukraine — Operational Commanders	Ukrainian operational commanders and their roles in the campaigns described.
167	Russia — Central and Regional Power	Russian central and regional decision-makers referenced in the document.
168	The West — Politicians, Diplomats, Intelligence	Western politicians, diplomats and intelligence officials cited in the analysis.
169	The Region — Azerbaijan, Belarus, Mediators	Regional actors from Azerbaijan, Belarus and mediation channels.
170	Our Intelligence Sources — OSINT, Analysts, Journalists	Analysts, journalists and OSINT sources used in the document.
171	Science, Research, Expertise	Researchers and experts providing data and scientific frameworks.
172	Figures from the Cultural and Historical Background	Historical and cultural figures used as reference points.
173	XVI. Doctrinal Motif — an Old Pattern Reversed	The Russian maskirovka pattern reversed and used against its original practitioner.
174	The Literary Pattern — “Kill Many to Hide One”	Hiding a key action under a flood of other events and stimuli.
175	Doctrinal History — Maskirovka as a Soviet and Post-Soviet Tool	Maskirovka from Soviet practice to contemporary Russian information warfare.
176	The Kremlin's Structural Blindness — Why a Known Doctrine Remains Invisible	The Kremlin fails to recognise a technique turned against it that it has historically used itself.
177	War Dynamics in the Mirror of the Second World War — Bagration, the Oil Campaign, Integration of Instruments	Analogies to Bagration and the oil campaign as cases of integrating multiple instruments of pressure.
178	XVII. Sources — Institutions, Media, OSINT, Interpretive Frameworks	A set of media, OSINT, satellite and academic sources.
179	Press and Analytical Institutions	Media outlets, agencies and analytical institutions used to verify events.
180	Telegram OSINT	Telegram OSINT channels providing data from Russia, Ukraine and Crimea.
181	Satellite and Imagery Data	Satellite and thermal data used for independent verification of strike effects.
182	OSINT on Bluesky / X	Analysts and OSINT accounts on Bluesky and X.
183	Interpretive Frameworks (Academic)	Horbyk, Douglas and Mottron as sources of the principal interpretive frameworks.
184	Target List	A chronological register of strategic strikes from January to June 2026: targets, effects, reach and the campaign's changing rhythm.
185	II. Strike List — Fortnightly Periods, Weekly from May Onward	Strikes organised by period, with classification of targets, effects and fronts.
186	Introduction — Key Dates, Classification, Baseline Statistics	Key dates, classification rules, damage-status categories and baseline statistics.
187	Period 1: 4–17 January	Register of strikes from 4–17 January: the campaign's initial, sparse phase.
188	Period 2: 18–31 January	Register of strikes from 18–31 January: refineries return and targets begin to cluster.
189	Period 3: 1–14 February	Register of strikes from 1–14 February: Volgograd and a leap in reach into the deep rear.
190	Period 4: 15–28 February	Register of strikes from 15–28 February: a slowdown ending with the outbreak of war in Iran.
191	The Hormuz Paradox — Calendar Start	The start of the Hormuz paradox: war in Iran temporarily lifts Russian oil revenues.
192	Period 5: 1–14 March	Register of strikes from 1–14 March: electronics, gas and selection of more precise munitions.
193	Period 6: 15–28 March	Register of strikes from 15–28 March: diversification toward the Baltic, Volga region, chemicals and aviation.
194	Period 7: 29 March–11 April	Register of strikes from 29 March–11 April: a selective pause, not a full halt.
195	Correction v1.2 — the Easter Pause Was Not Absolute	The Easter pause applied to selected target classes, not to the entire campaign.
196	Period 8: 12–25 April	Register of strikes from 12–25 April: the Black Sea, Bashkortostan and compression of the repair cycle.
197	Period 9: 26 April–9 May	Register of strikes from 26 April–9 May: deep Russia, the Baltic and new production nodes.
198	Period 10: 10–16 May	Register of strikes from 10–16 May: demembranisation of Moscow's perimeter and further compression of refinery repair cycles.
199	Note on the Change in Rhythm — Weekly from May	The tempo of events forces the register to shift from fortnightly to weekly periods.
200	Period 11: 17–23 May	Register of 17–23 May: strikes combined with a communications and signalling campaign.
201	Three-Day Communications Campaign, 17–18 May	A synchronised communications layer on 17–18 May superimposed on the kinetic campaign.
202	Period 12: 24–30 May	Register of 24–30 May: culmination of deep strikes and formalisation of “long-range sanctions”.
203	27 May — the Largest Deep-Strike Package of the War	27 May: the largest package of parallel deep strikes to date.
204	May Statistics — Commander-in-Chief of the Armed Forces of Ukraine (Gen. Syrskyi)	The official Ukrainian Armed Forces balance for May: Deep Strike targets, losses, territory and air defence.
205	Period 13: 31 May–6 June	Register of 31 May–6 June: SPIEF, the Baltic, Crimea and expansion of the campaign to roughly 1,000 km.
206	3 June — Strike on the Opening Day of SPIEF	A strike on St Petersburg on SPIEF's opening day as pure calendar-based signalling.
207	Period 14: 7–13 June	Register of 7–13 June: R-280 interdiction, substations, railways, arsenals and new target types.
208	Period 15: 14–20 June	Register of 14–20 June: continued pressure on fuel, Moscow, Crimea and infrastructure.
209	Period 16: from 21 June (Ongoing)	Register from 21 June onward: Crimea as an island, microelectronics, refineries and a nationwide fuel cascade.
210	July 2026. The Shift to Wholesale	July 2026 as the point when Ukrainian pressure shifts from individual strikes to system scale. An analysis of fuel, the economy, mobilisation, adaptation and Russia's shrinking options.
211	I. The Scale of Wholesale	A change in the unit of measurement: from individual hits to the balance of entire capability classes.
212	1. Refining — a Twenty-Year Low	Russian oil refining at its lowest level in two decades, with persistent refinery outages.
213	2. Strike Tempo	A surge in the number and geographic reach of hits on Russian fuel infrastructure.
214	On the “Pause” That Wasn't	The supposed refinery pause was a shift of the campaign toward storage and logistics.
215	3. The Geographic Reach of the Crisis on the Russian Side	Fuel shortages cover almost all of Russia and are beginning to affect the front as well.
216	4. What “Wholesale” Means	Target classes, rather than individual objects, become the unit of attack; the measure is the balance and irreversibility of losses.
217	II. The Marketplace as a Target	E-commerce warehouses as part of military logistics and as a channel transmitting financial losses.
218	1. The Wildberries Campaign	A series of strikes on Wildberries warehouses exposes a new, weakly defended target class.
219	On the Evacuation That Never Happened	The absence of worker evacuation as an indicator that the system was unprepared for this category of strike.
220	2. The First Ozon	Expansion of the campaign from Wildberries to Ozon infrastructure.
221	3. Target Rationale	The marketplace as a real military-supply node, not an accidental civilian object.
222	4. Reason, Not Pretext — and Sealed by the EU	Russian labelling of military goods confirms the material reason for selecting the target.
223	What the Union Could Do	The EU responds with sanctions against the same entities instead of challenging Ukraine's classification of the target.
224	5. Financial Effect and Risk Transfer	Warehouse losses flow through to sellers, loans, bank provisions and the state.
225	III. The West's Strategic Silence	The West acts on structural analysis while speaking publicly mostly about current events.
226	1. The Gap Between Knowledge and Speech	Western decisions reveal more strategic knowledge than official statements do.
227	2. The Word of an Incumbent Is a Commitment, Not an Opinion	A strategic forecast by a serving politician immediately creates an obligation to act.
228	3. The Question No One Wants to Hear	Russia's disintegration opens the uncomfortable question of who controls the nuclear arsenal.
229	On the Oil Price	Decision-makers' words about Russian oil can themselves move energy prices.
230	4. Asymmetry in the Cost of Being Wrong	Politically, silence is cheaper than being publicly wrong about Russia's disintegration.
231	5. Retirees Speak — the Control Test	Once out of office, the same people speak much more freely about end-state scenarios.
232	6. The Media Too — Different Mechanism, Same Effect	The media avoid categorical structural forecasts for different reasons than incumbent politicians do.
233	7. Error in the Comparative Frame	Misleading historical analogies obscure the different structure of Russia's current erosion.
234	8. Who Can See That the Emperor Has No Clothes	Those who do not bear the cost of their own diagnosis find it easiest to name the full picture.
235	IV. Budanov and Zelenskyy — a Change in Language	A shift in the language of Ukraine's leadership from survival to a timetable for ending the war.
236	1. A Promotion That Is Itself a Thesis	Budanov's promotion read as a shift of weight toward the phase of political closure.
237	2. From Survival to a Deadline	Public language shifts from “we will endure” to a concrete window for ending the war.
238	3. The Doctrine of Maximising Escalation	Exiting escalation by increasing pressure until the opponent is forced to decide.
239	4. Literalness as a Tool	Literal messages as a deliberate way to limit over-interpretation and propaganda noise.
240	5. The Warrior-Monk Register	Budanov as a cool, restrained sender reporting verified tasks without triumphalism.
241	The Same Missing Layer	The absence of performative triumph as a shared feature of the statements analysed.
242	Reference: Budanov's Grammar	The language of July confirms the earlier reading of Budanov's omissions and sequencing of communication.
243	6. What They Say, and What They Still Do Not	Transparency stops before the questions of Russia's disintegration, Putin and the nuclear arsenal.
244	V. Kasparov — the Reference Constant	Kasparov's diagnosis, unchanged for years, as a baseline against which a shifting reality can be measured.
245	1. Twenty Years of the Same Thesis	The constant thesis: Putin's regime ends only with Russia's defeat.
246	2. Three Things No One Else Says	Kasparov states openly three conclusions avoided by serving decision-makers.
247	First: Russia Will Disintegrate	The disintegration of Russia's imperial structure as the expected consequence of the regime's defeat.
248	Second: Russia Should Disintegrate	Russia's disintegration presented also as a desirable moral and strategic outcome.
249	Third: China Profits from This War, and Essentially No One Else Does	Beijing as the main beneficiary of a prolonged war and Russia's growing dependence.
250	And the Conclusion That Follows from the Three Above: It Is Not Terrible	The collapse of an empire need not be a greater catastrophe than the cost of keeping it alive.
251	3. Why It Sounds Different Now	The data have moved toward a diagnosis that once sounded like dissident exaggeration.
252	4. Three Voices, One Model	The West, Ukraine and Kasparov differ in degree of commitment, not necessarily in knowledge.
253	VI. How Innocently Wholesale Began	Wholesale grew out of a response to a Russian attack, but persisted because it proved highly effective.
254	1. The Ladder Began Earlier	July's wholesale campaign rests on capabilities built earlier to increase Ukraine's autonomy.
255	2. Two Engines in the Same Direction	Strategic calculation and moral retaliation push the campaign in the same direction.
