dokument_kod	typ_struktury	glebokosc_struktury	kolejnosc	sekcja_tytul	anchor	parent_anchor	deep_link	opis
A1	TOM	2	11	Tom IV. Synteza i prognoza	synteza-prognoza	kolumbryna	https://maciektora-hue.github.io/rosja/kolumbryna/#synteza-prognoza	Sprzężenie 24 procesów erozyjnych, patologii informacyjnej i modeli katastrofy prowadzi do probabilistycznej prognozy systemu.
A1	H2	3	12	Rozdział 7. Bestiariusz — 24 szare nosorożce i ich sprzężenia	bestiariusz-szare-nosorozce	synteza-prognoza	https://maciektora-hue.github.io/rosja/kolumbryna/#bestiariusz-szare-nosorozce	24 równoległe procesy erozyjne potraktowane jako jeden sprzężony system, nie lista osobnych kryzysów.
A1	H2	3	13	Rozdział 8. Patologia informacyjna i dlaczego nie Korea Północna	patologia-informacyjna	synteza-prognoza	https://maciektora-hue.github.io/rosja/kolumbryna/#patologia-informacyjna	Patologia informacyjna dyktatury i granice analogii Rosji z Koreą Północną.
A1	H2	3	14	Rozdział 9. Chemia pożarów, uzależnienie i sezonowość	chemia-pozarow-uzaleznienie-sezonowosc	synteza-prognoza	https://maciektora-hue.github.io/rosja/kolumbryna/#chemia-pozarow-uzaleznienie-sezonowosc	Pożary i backdraft jako model opóźnionej katastrofy; uzależnienie i sezonowość wzmacniają ryzyko.
A1	H2	3	15	Rozdział 10. Jest już za późno — konkluzja Części I	za-pozno-konkluzja-czesci-i	synteza-prognoza	https://maciektora-hue.github.io/rosja/kolumbryna/#za-pozno-konkluzja-czesci-i	Synteza Części I: system przekroczył punkt łatwej autokorekty; dalsze trajektorie ujęte probabilistycznie.
A1	TOM	2	16	Tom V. Projekt życia mu nie wyszedł	projekt-zycia-mu-nie-wyszedl	kolumbryna	https://maciektora-hue.github.io/rosja/kolumbryna/#projekt-zycia-mu-nie-wyszedl	Putin jako aktor maksymalizujący własne przetrwanie: ograniczone wyjścia, scenariusze desperacji i próg odejścia elit.
A1	H2	3	17	Rozdział 11. Dlaczego to nie jest pytanie o pieniądze	nie-pytanie-o-pieniadze	projekt-zycia-mu-nie-wyszedl	https://maciektora-hue.github.io/rosja/kolumbryna/#nie-pytanie-o-pieniadze	Putin oceniany nie przez dobro Rosji, lecz przez osobistą funkcję celu dyktatora bez bezpiecznej emerytury.
A1	H2	3	18	Rozdział 12. Zasoby, skreślenia i dziewięć scenariuszy desperacji	zasoby-skreslenia-scenariusze-desperacji	projekt-zycia-mu-nie-wyszedl	https://maciektora-hue.github.io/rosja/kolumbryna/#zasoby-skreslenia-scenariusze-desperacji	Pozostałe zasoby i dziewięć scenariuszy desperacji, od dealu politycznego po eskalację i scorched earth.
A1	H2	3	19	Rozdział 13. Kiedy elity odłączą się od Putina?	elity-odlaczaja-sie-od-putina	projekt-zycia-mu-nie-wyszedl	https://maciektora-hue.github.io/rosja/kolumbryna/#elity-odlaczaja-sie-od-putina	Moment, w którym koszt lojalności elit wobec Putina przewyższa koszt odejścia.
A1	TOM	2	20	Tom VI. Od Kaukazu po Zatokę	od-kaukazu-po-zatoke	kolumbryna	https://maciektora-hue.github.io/rosja/kolumbryna/#od-kaukazu-po-zatoke	Rozpad Iranu jako katalizator nowego układu Kaukazu i Zatoki: aktorzy, ryzyka i samopodtrzymujący się porządek regionalny.
A1	H2	3	21	Rozdział 14. Rozpad irańskiej państwowości i koncepcja operacyjna	rozpad-iranu-koncepcja-operacyjna	od-kaukazu-po-zatoke	https://maciektora-hue.github.io/rosja/kolumbryna/#rozpad-iranu-koncepcja-operacyjna	Rozpad koordynacji Iranu otwiera warianty Aras–Zagros i przesuwa układ Kaukazu oraz Zatoki.
A1	H2	3	22	Rozdział 15. Mapa aktorów i ryzyka krytyczne	mapa-aktorow-ryzyka-krytyczne	od-kaukazu-po-zatoke	https://maciektora-hue.github.io/rosja/kolumbryna/#mapa-aktorow-ryzyka-krytyczne	Interesy kluczowych aktorów, ich zbieżności i sprzeczności oraz ryzyka, z materiałem jądrowym na czele.
A1	H2	3	23	Rozdział 16. Hanza 2.0 — porządek bez architekta	hanza-2-0	od-kaukazu-po-zatoke	https://maciektora-hue.github.io/rosja/kolumbryna/#hanza-2-0	Hanza 2.0 jako porządek regionalny utrzymywany interesami i kapitałem, bez jednego architekta.
A1	TOM	2	24	Tom VII. Od Ormuzu do panelu słonecznego	od-ormuzu-do-panelu-slonecznego	kolumbryna	https://maciektora-hue.github.io/rosja/kolumbryna/#od-ormuzu-do-panelu-slonecznego	Szok energetyczny, substytucja i zmiana monopoli pokazane jako przejście od hierarchicznej energetyki do bardziej rozproszonej władzy.
A1	H2	3	25	Rozdział 17. Od Ormuzu do panelu — struktura, szok i substytucja	od-ormuzu-do-panelu	od-ormuzu-do-panelu-slonecznego	https://maciektora-hue.github.io/rosja/kolumbryna/#od-ormuzu-do-panelu	Szok Ormuz jako impuls do substytucji ropy i gazu oraz przyspieszenia elektryfikacji i OZE.
A1	H2	3	26	Rozdział 18. Monopole i topologia władzy	monopole-topologia-wladzy	od-ormuzu-do-panelu-slonecznego	https://maciektora-hue.github.io/rosja/kolumbryna/#monopole-topologia-wladzy	Porównanie monopolu saudyjskiego i chińskiego oraz przejście od scentralizowanej energii do bardziej płaskiej topologii władzy.
A1	TOM	2	27	Tom VIII. Disinfolklore, Dark Legitimacy i etyka	disinfolklore-dark-legitimacy-etyka	kolumbryna	https://maciektora-hue.github.io/rosja/kolumbryna/#disinfolklore-dark-legitimacy-etyka	Narzędzia analizy dezinformacji i legitymizacji zestawione z obowiązkiem jawności źródeł, biasu i granic poznania.
A1	H2	3	28	Rozdział 19. Disinfolklore i Dark Legitimacy — trucizna i ciemna strona	disinfolklore-dark-legitimacy	disinfolklore-dark-legitimacy-etyka	https://maciektora-hue.github.io/rosja/kolumbryna/#disinfolklore-dark-legitimacy	Disinfolklore i dark legitimacy jako narzędzia opisu dezinformacji i paradoksalnego wzmacniania dyktatury przez ujawnianie patologii.
A1	H2	3	29	Rozdział 20. Źródła, etyka i granice poznania	zrodla-etyka-granice-poznania	disinfolklore-dark-legitimacy-etyka	https://maciektora-hue.github.io/rosja/kolumbryna/#zrodla-etyka-granice-poznania	Źródła, bias, etyka analizy wojny i jawne granice tego, co można uczciwie wnioskować.
A1	TOM	2	30	Tom IX. Korekta i przesłuchanie	korekta-przesluchanie	kolumbryna	https://maciektora-hue.github.io/rosja/kolumbryna/#korekta-przesluchanie	Adversarialna kontrola wcześniejszych tez: steelmanning systemu, krytyka własnej metody i zrewidowana konkluzja.
A1	H2	3	31	Rozdział 21. Steelmanning systemu — Chiny, inercja, zmęczenie Zachodu	steelmanning-systemu	korekta-przesluchanie	https://maciektora-hue.github.io/rosja/kolumbryna/#steelmanning-systemu	Najmocniejsze argumenty za trwałością systemu: Chiny, inercja, zdolność adaptacji i zmęczenie Zachodu.
A1	H2	3	32	Rozdział 22. Disinfolklore pod lupą — SWOT i przesłuchanie sądowe	disinfolklore-swot-przesluchanie	korekta-przesluchanie	https://maciektora-hue.github.io/rosja/kolumbryna/#disinfolklore-swot-przesluchanie	SWOT Disinfolklore i adversarialne przesłuchanie metody pod kątem błędów, nadużyć i falsyfikowalności.
A1	H2	3	33	Rozdział 23. Zrewidowana konkluzja — mapa, nie GPS	zrewidowana-konkluzja	korekta-przesluchanie	https://maciektora-hue.github.io/rosja/kolumbryna/#zrewidowana-konkluzja	Zrewidowana konkluzja po steelmanningu: analiza jako mapa scenariuszy i prawdopodobieństw, nie precyzyjny GPS.
