37	1	363	proprioception
37	2	191	motor_coordination
37	3	471	body_awareness
38	1	166	compensation
38	2	516	co_occurring_autism_and_adhd
38	3	99	audhd_phenotype
39	1	78	internal_experience
39	2	480	identity
39	3	399	relationships
39	4	99	audhd_phenotype
40	1	293	long_term_memory
40	2	303	working_memory
40	3	130	hyperfocus
40	4	99	audhd_phenotype
41	1	382	memory_retrieval
41	2	290	associative_memory
41	3	99	audhd_phenotype
42	1	237	systems_thinking
42	2	434	associations
42	3	175	communication
42	4	254	nonlinearity
43	1	379	background_processing
43	2	146	incubation
43	3	404	problem_solving
43	4	492	attention
44	1	158	social_chameleonism
44	2	83	identity_diffusion
44	3	214	camouflaging
44	4	4	social_adaptation
45	1	435	moral_scrupulosity
45	2	326	guilt
45	3	317	perfectionism
45	4	444	justice
46	1	142	infodumping
46	2	212	reduced_verbal_output
46	3	349	pragmatics
46	4	175	communication
47	1	260	injustice
47	2	444	justice
47	3	85	emotion_dysregulation
47	4	311	paralysis
48	1	142	infodumping
48	2	35	intimacy
48	3	155	love_languages
49	1	35	intimacy
49	2	503	attachment
49	3	205	relationship_anxiety
49	4	399	relationships
50	1	345	explicit_relationship_rule_confirmation
50	2	399	relationships
50	3	498	verbalization
51	1	454	stress
51	2	269	somatic_symptoms
51	3	151	interoception
51	4	283	delayed_stress_symptoms
52	1	24	atypical_pain_processing
52	2	42	pain
52	3	239	hypersensitivity
52	4	251	hyposensitivity
52	5	378	sensory_processing
53	1	45	chronic_fatigue
53	2	366	overload
53	3	214	camouflaging
53	4	197	cognitive_cost
53	5	522	autistic_burnout
54	1	329	dual_processing
54	2	271	social_observation
54	3	226	metacognition
54	4	9	context_analysis
55	1	415	self_esteem
55	2	73	person_environment_fit
55	3	150	intensity
55	4	517	shame
56	1	61	social_decoding
56	2	214	camouflaging
56	3	175	communication
56	4	9	context_analysis
57	1	266	regulatory_nostalgia
57	2	419	self_regulation
57	3	380	predictability
57	4	346	repetitiveness
58	1	232	inner_speech
58	2	242	racing_thoughts
58	3	434	associations
58	4	322	cognitive_arousal
59	1	468	time_blindness
59	2	130	hyperfocus
60	1	199	identity_crisis
60	2	480	identity
60	3	529	special_interests
60	4	387	emptiness
61	1	480	identity
61	2	348	late_diagnosis
61	3	420	self_knowledge
61	4	272	self_discovery
62	1	124	information_accumulation
62	2	256	uncertainty
62	3	529	special_interests
62	4	285	knowledge_organization
63	1	137	humor
63	2	434	associations
63	3	3	absurdity
63	4	76	literal_interpretation
63	5	123	wordplay
64	1	238	excessive_apologizing
64	2	214	camouflaging
64	3	517	shame
64	4	507	rejection_sensitivity
64	5	399	relationships
65	1	253	nonlinear_task_execution
65	2	107	executive_function
65	3	234	motivation
65	4	164	task_sequencing
66	1	325	adult_role_impostor_feelings
66	2	75	adulthood
66	3	107	executive_function
66	4	214	camouflaging
66	5	415	self_esteem
67	1	262	unrealized_potential
67	2	107	executive_function
67	3	415	self_esteem
67	4	286	achievement
68	1	236	bottom_up_processing
68	2	26	autonomy
68	3	234	motivation
68	4	9	context_analysis
69	1	324	sense_of_otherness
69	2	381	belonging
69	3	472	neurodiversity_awareness
69	4	73	person_environment_fit
70	1	5	neurodiversity_acceptance
70	2	543	understanding
70	3	26	autonomy
71	1	516	co_occurring_autism_and_adhd
71	2	99	audhd_phenotype
71	3	384	psychoeducation
72	1	392	references
