number	source_filename	artist_original	artist_normalized	artist_parsed	title_original	title_normalized	title_parsed	youtube_video_id
213	0213 - null - Pink Floyd - Coming Back to Life   (2011 Remastered Version) [Pdjwgreie30].webm	Pink Floyd	pink floyd	pink floyd	Coming Back to Life (2011 Remastered Version)	coming back to life (2011 remastered version)	coming back to life 2011 remastered version	Pdjwgreie30
214	0214 - KayaxTV - Artur Rojek - Sportowe życie (Official Video) [Hz2nHI5JGxU].webm	Artur Rojek	artur rojek	artur rojek	Sportowe życie (Official Video)	sportowe życie (official video)	sportowe zycie official video	Hz2nHI5JGxU
215	0215 - Rag'n'Bone Man - Rag'n'Bone Man - Odetta (Official Audio) [xvqqk2yn5W4].webm	Rag'n'Bone Man	rag'n'bone man	rag n bone man	Odetta (Official Audio)	odetta (official audio)	odetta official audio	xvqqk2yn5W4
216	0216 - Snowstar Records - Donna Blue - Desert Lake (Official Video) [1l0czajACYg].webm	Donna Blue	donna blue	donna blue	Desert Lake (Official Video)	desert lake (official video)	desert lake official video	1l0czajACYg
217	0217 - Good Old Music - Wearing The Inside Out - Pink Floyd - Remaster 2011 (06) [AoTbXrbdhRU].webm	Wearing The Inside Out	wearing the inside out	wearing the inside out	Pink Floyd - Remaster 2011 (06)	pink floyd - remaster 2011 (06)	pink floyd remaster 2011 06	AoTbXrbdhRU
218	0218 - Full Time Hobby - tunng - Death is the New Sex [Official Audio] [czdfjVFTGoM].webm	tunng	tunng	tunng	Death is the New Sex [Official Audio]	death is the new sex [official audio]	death is the new sex official audio	czdfjVFTGoM
219	0219 - S.P. RECORDS - KULT - Arahja [OFFICIAL VIDEO] [_vw2K0AgFF0].webm	KULT	kult	kult	Arahja [OFFICIAL VIDEO]	arahja [official video]	arahja official video	_vw2K0AgFF0
220	0220 - HooverphonicMusic - Hooverphonic - Romantic [-Gb7tI7zL9E].webm	Hooverphonic	hooverphonic	hooverphonic	Romantic	romantic	romantic	-Gb7tI7zL9E
221	0221 - S.P. RECORDS - KULT - Polska [OFFICIAL VIDEO] [x3kicEsx7g0].webm	KULT	kult	kult	Polska [OFFICIAL VIDEO]	polska [official video]	polska official video	x3kicEsx7g0
222	0222 - Daria Zawiałow - Daria Zawiałow - Malinowy Chrusniak [ut_igW6OOtE].webm	Daria Zawiałow	daria zawiałow	daria zawialow	Malinowy Chrusniak	malinowy chrusniak	malinowy chrusniak	ut_igW6OOtE
223	0223 - Brodka - Brodka - Krzyzowka dnia [mmMkCpSjqPo].webm	Brodka	brodka	brodka	Krzyzowka dnia	krzyzowka dnia	krzyzowka dnia	mmMkCpSjqPo
224	0224 - sanah - sanah - Szampan (Official Video) [S7sN-cFhwuk].webm	sanah	sanah	sanah	Szampan (Official Video)	szampan (official video)	szampan official video	S7sN-cFhwuk
225	0225 - Balthazar - Balthazar - Bunker (Official Video) [qwi6POwtfnc].webm	Balthazar	balthazar	balthazar	Bunker (Official Video)	bunker (official video)	bunker official video	qwi6POwtfnc
226	0226 - Nothing But Thieves - Nothing But Thieves - Is Everybody Going Crazy？ (Official Video) [sSD9ePFUkvM].webm	Nothing But Thieves	nothing but thieves	nothing but thieves	Is Everybody Going Crazy? (Official Video)	is everybody going crazy? (official video)	is everybody going crazy official video	sSD9ePFUkvM
227	0227 - Rag'n'Bone Man - Rag'n'Bone Man - Be the Man (Official Audio) [5hMCc9_rCMI].webm	Rag'n'Bone Man	rag'n'bone man	rag n bone man	Be the Man (Official Audio)	be the man (official audio)	be the man official audio	5hMCc9_rCMI
228	0228 - Music For Dreams - Islandman - Agit - 0125 [-jPdXvoU1H0].webm	Islandman	islandman	islandman	Agit - 0125	agit - 0125	agit 0125	-jPdXvoU1H0
229	0229 - Vicious Circle Records - Elias Dris - BEATNIK OR NOT TO BE (official video) [0AMQKQ3nSHg].webm	Elias Dris	elias dris	elias dris	BEATNIK OR NOT TO BE (official video)	beatnik or not to be (official video)	beatnik or not to be official video	0AMQKQ3nSHg
230	0230 - The Flabbies - The Flabbies - Nosedive [hQE4DDvKLtg].webm	The Flabbies	the flabbies	the flabbies	Nosedive	nosedive	nosedive	hQE4DDvKLtg
231	0231 - Musicalicious - Raz Ohara - See It Coming (Original Mix) [-U12yBnxXX8].webm	Raz Ohara	raz ohara	raz ohara	See It Coming (Original Mix)	see it coming (original mix)	see it coming original mix	-U12yBnxXX8
232	0232 - KAPITAN KORSAKOV - Kapitan Korsakov - In the Shade of the Sun (music video) [eg6oam97C3g].webm	Kapitan Korsakov	kapitan korsakov	kapitan korsakov	In the Shade of the Sun (music video)	in the shade of the sun (music video)	in the shade of the sun music video	eg6oam97C3g
233	0233 - Cracki Records - Apes & Horses - The Fields [R9jQwMXQvmE].webm	Apes & Horses	apes & horses	apes horses	The Fields	the fields	the fields	R9jQwMXQvmE
234	0234 - BeatserviceRecords - Flunk： Queen Of The Undergound [RNLfatf7cxY].webm	BeatserviceRecords	beatservicerecords	beatservicerecords	Flunk: Queen Of The Undergound	flunk: queen of the undergound	flunk queen of the undergound	RNLfatf7cxY
235	0235 - Recable - Slowdive： Sugar for the Pill (Recable Remix) [D6MCzIuEp4g].webm	Recable	recable	recable	Slowdive: Sugar for the Pill (Recable Remix)	slowdive: sugar for the pill (recable remix)	slowdive sugar for the pill recable remix	D6MCzIuEp4g
236	0236 - huskyrescuemusic - Husky Rescue - New Light Of Tomorrow [Lv9pP_QeVFM].webm	Husky Rescue	husky rescue	husky rescue	New Light Of Tomorrow	new light of tomorrow	new light of tomorrow	Lv9pP_QeVFM
237	0237 - Flunk, Erik Ruud, Ulf Nygaard, Ole Kristian Wetten, Anja Øyen Vister, Jo Bakke - Petrified [I3YOXuejX1A].webm	Flunk, Erik Ruud, Ulf Nygaard, Ole Kristian Wetten, Anja Øyen Vister, Jo Bakke	flunk, erik ruud, ulf nygaard, ole kristian wetten, anja øyen vister, jo bakke	flunk erik ruud ulf nygaard ole kristian wetten anja yen vister jo bakke	Petrified	petrified	petrified	I3YOXuejX1A
238	0238 - Ran Nir - I Am With You (Alt-Mix By Ran Nir) [6NyOpDc6q_w].webm	Ran Nir	ran nir	ran nir	I Am With You (Alt-Mix By Ran Nir)	i am with you (alt-mix by ran nir)	i am with you alt mix by ran nir	6NyOpDc6q_w
239	0239 - Talitres - Maxwell Farrington & Le SuperHomard — We, Us the Pharaohs [OFFICIAL VIDEO] [aKB-mXWxo8A].webm	Maxwell Farrington & Le SuperHomard	maxwell farrington & le superhomard	maxwell farrington le superhomard	We, Us the Pharaohs [OFFICIAL VIDEO]	we, us the pharaohs [official video]	we us the pharaohs official video	aKB-mXWxo8A
240	0240 - wearenasser - NASSER ＂Love＂ (Official Video) [MevB9Nhxh4c].webm	wearenasser	wearenasser	wearenasser	"NASSER ""Love"" (Official Video)"	"nasser ""love"" (official video)"	nasser love official video	MevB9Nhxh4c
241	0241 - Nick Mulvey - Nick Mulvey - Moment Of Surrender [9uCp7lDMiro].webm	Nick Mulvey	nick mulvey	nick mulvey	Moment Of Surrender	moment of surrender	moment of surrender	9uCp7lDMiro
242	0242 - Sub Pop - Loma - Half Silences [OFFICIAL VIDEO] [_UwsP3ioiks].webm	Loma	loma	loma	Half Silences [OFFICIAL VIDEO]	half silences [official video]	half silences official video	_UwsP3ioiks
243	0243 - Pitou - I Fall Asleep So Fast [FWIkfRy3ujI].webm	Pitou	pitou	pitou	I Fall Asleep So Fast	i fall asleep so fast	i fall asleep so fast	FWIkfRy3ujI
244	0244 - FONOBO Label - Magda Ruta - Nie wiem czy będę (Official Video) [QGUkivMEoJM].webm	Magda Ruta	magda ruta	magda ruta	Nie wiem czy będę (Official Video)	nie wiem czy będę (official video)	nie wiem czy bede official video	QGUkivMEoJM
245	0245 - FONOBO Label - Ralph Kaminski - Kosmiczne Energie (Official Video) [nV8FGJNQqyM].webm	Ralph Kaminski	ralph kaminski	ralph kaminski	Kosmiczne Energie (Official Video)	kosmiczne energie (official video)	kosmiczne energie official video	nV8FGJNQqyM
246	0246 - Patrycja Kosiarkiewicz - Patrycja Kosiarkiewicz - Ale [8NLkbgPh844].webm	Patrycja Kosiarkiewicz	patrycja kosiarkiewicz	patrycja kosiarkiewicz	Ale	ale	ale	8NLkbgPh844
247	0247 - Wojtek Szumanski - Kiedy nagle to wróciło (Wojtek Szumański) [7FI2fbn-MqU].webm	Wojtek Szumanski	wojtek szumanski	wojtek szumanski	Kiedy nagle to wróciło (Wojtek Szumański)	kiedy nagle to wróciło (wojtek szumański)	kiedy nagle to wrocilo wojtek szumanski	7FI2fbn-MqU
248	0248 - marcin23-s - Zdzislawa Sosnicka Pozegnanie z bajką [Ck8wFOP_BRw].webm	marcin23-s	marcin23-s	marcin23 s	Zdzislawa Sosnicka Pozegnanie z bajką	zdzislawa sosnicka pozegnanie z bajką	zdzislawa sosnicka pozegnanie z bajka	Ck8wFOP_BRw
249	0249 - smithandburrows - Smith & Burrows - All The Best Moves [WTgauGO6A5k].webm	Smith & Burrows	smith & burrows	smith burrows	All The Best Moves	all the best moves	all the best moves	WTgauGO6A5k
250	0250 - Jaguar Jaguar - Jaguar Jaguar - So Long (official video) [rR3shg_IuFE].webm	Jaguar Jaguar	jaguar jaguar	jaguar jaguar	So Long (official video)	so long (official video)	so long official video	rR3shg_IuFE
