term_pl	term_en	typ	maciek	concept_id	concept_key	uwagi
zarządzany upadek	managed decline	termin	*			Kontrolowane kurczenie i restrukturyzacja zamiast wzrostu.
chiński substytut komponentowy	Chinese component substitute	termin	*			Zastępowanie zachodnich komponentów dostawami chińskimi.
sankcje kinetyczne	kinetic sanctions	neologizm	*			Fizyczne niszczenie infrastruktury jako odpowiedź na obchodzenie sankcji.
najkrótszy zapalnik	shortest fuse	neologizm	*			Proces mogący najszybciej przeprowadzić system z erozji do jawnego kryzysu.
asymetria ograniczeń	asymmetry of constraints	termin	*			Rozróżnienie ograniczeń fizycznych/jednokierunkowych i politycznie odwracalnych.
inwentarz opcji	inventory of options	termin	*			Rozdzielenie opcji realnych od pozornych.
zapas kontra strumień	stock vs flow	termin	*			Maćkowa rama porównująca zużywające się zapasy z odnawialnym strumieniem presji.
cebula transportowa	transport onion	neologizm	*			Warstwowa metafora kolejnych wąskich gardeł transportowych.
pułapka jedynego decydenta	sole decision-maker trap	termin	*			Rozbieżność między interesem państwa a funkcją celu jedynego realnego decydenta.
ruch resztkowy	residual move	termin	*			Ruch wysokiego ryzyka pozostający po wyczerpaniu bezpieczniejszych opcji.
paradoks zapędzenia	cornering paradox	neologizm	*			Im mniej bezpiecznych wyjść, tym atrakcyjniejszy staje się ruch resztkowy wysokiego ryzyka.
fenomenologia końca państwa	phenomenology of state ending	termin	*			Opis formy i przebiegu końca państwa, niezależnie od pełnej etiologii.
spoiwo wewnętrzne	internal binding	termin	*			Mechanizmy kalkulacyjne utrzymujące aparat i centrum razem.
czujnik siły	strength sensor	neologizm	*			Aktor lub grupa reagująca na postrzeganą siłę centrum.
Archetypal Disinfolklore Literacy	Archetypal Disinfolklore Literacy	neologizm	*			Nazwa narzędzia metody; pozostawić po angielsku.
Incoming-Outgoing Troll Radars	Incoming–Outgoing Troll Radars	neologizm	*			Nazwa filtra wejściowych i wychodzących treści.
Witch Switch	Witch Switch	neologizm	*			Nazwa mechanizmu przekierowania realnego lęku na sfabrykowanego winnego.
Re-Archetyping	Re-Archetyping	neologizm	*			Świadoma podmiana archetypu w mentalnym modelu obiektu.
Data-Resistant Archetypes	Data-Resistant Archetypes	neologizm	*			Archetypy oporne na dane i korektę faktami.
Counter-Disinfolklore	Counter-Disinfolklore	neologizm	*			Zestaw narzędzi obronnych wobec Disinfolklore.
przesłuchanie informacyjne	informational cross-examination	neologizm	*			Quasi-sądowy test wiarygodności metody analitycznej.
taksonomia rosyjskiego samobójstwa	taxonomy of Russian suicide	neologizm	*			Maćkowa nazwa katalogu podejrzanych zgonów prominentnych Rosjan.
metoda podwójna	double method	termin	*			Przypadek z więcej niż jednym pozornie samobójczym mechanizmem.
cornered animal	cornered animal	termin	*			Rama zachowania autokraty zapędzonego w sytuację bez bezpiecznych wyjść.
Jałta 3.0	Yalta 3.0	neologizm	*			Maćkowa nazwa scenariusza przebudowy porządku od Kaukazu po Zatokę.
aura strachu	aura of fear	termin	*			Reputacja nieuchronnej siły jako zasób aparatu przymusu.
odwrócona metoda naukowa	reversed scientific method	neologizm	*			Sekwencja intuicja → prowokacja → dane → formalizacja.
trzy zagnieżdżone równowagi	three nested equilibria	termin	*			Lokalna, regionalna i szersza równowaga wzajemnie podtrzymująca system.
autoimmunologia	autoimmunity	neologizm	*			Metafora strategii cenowej niszczącej konkurentów, ale także wzmacniającej substytuty.
zegar samozniszczenia	self-destruct clock	neologizm	*			Wbudowany mechanizm stopniowej erozji monopolu.
energia jako narzędzie sprawiedliwości	energy as an instrument of justice	termin	*			Rama etyczna rozproszonej, tańszej energii jako ograniczenia zależności.
