number	source_filename	artist_original	artist_normalized	artist_parsed	title_original	title_normalized	title_parsed	youtube_video_id
265	0265 - Dire Straits - Dire Straits - Tunnel Of Love (Official Music Video) [gAirINwjaxE].webm	Dire Straits	dire straits	dire straits	Tunnel Of Love (Official Music Video)	tunnel of love (official music video)	tunnel of love official music video	gAirINwjaxE
266	0266 - S.P. RECORDS - STRACHY NA LACHY - Czarny chleb i czarna kawa [OFFICIAL AUDIO] [gvDKuRP8vRE].webm	STRACHY NA LACHY	strachy na lachy	strachy na lachy	Czarny chleb i czarna kawa [OFFICIAL AUDIO]	czarny chleb i czarna kawa [official audio]	czarny chleb i czarna kawa official audio	gvDKuRP8vRE
267	0267 - The Doors - Light My Fire (2017 Remaster) [qoX6AKuYWL8].webm	The Doors	the doors	the doors	Light My Fire (2017 Remaster)	light my fire (2017 remaster)	light my fire 2017 remaster	qoX6AKuYWL8
268	0268 - S.P. RECORDS - STRACHY NA LACHY - Piła tango [OFFICIAL VIDEO] [nFBBD1Eim1E].webm	STRACHY NA LACHY	strachy na lachy	strachy na lachy	Piła tango [OFFICIAL VIDEO]	piła tango [official video]	pila tango official video	nFBBD1Eim1E
269	0269 - ABKCOVEVO - The Rolling Stones - (I Can't Get No) Satisfaction (Official Lyric Video) [nrIPxlFzDi0].webm	The Rolling Stones	the rolling stones	the rolling stones	(I Can't Get No) Satisfaction (Official Lyric Video)	(i can't get no) satisfaction (official lyric video)	i can t get no satisfaction official lyric video	nrIPxlFzDi0
270	0270 - Scatman88 - I Can't Dance (Remastered 2007) · Genesis [a_Moi6KlpJI].webm	Genesis	genesis	genesis	I Can't Dance (Remastered 2007)	i can't dance (remastered 2007)	i can t dance remastered 2007	a_Moi6KlpJI
271	0271 - NA - The Doors - Riders on the Storm (Official Audio) [7G2-FPlvY58].webm	The Doors	the doors	the doors	Riders on the Storm (Official Audio)	riders on the storm (official audio)	riders on the storm official audio	7G2-FPlvY58
272	0272 - Deep Purple - Demon's Eye (1996 Remaster) [VoREMTRNAX0].webm	Deep Purple	deep purple	deep purple	Demon's Eye (1996 Remaster)	demon's eye (1996 remaster)	demon s eye 1996 remaster	VoREMTRNAX0
273	0273 - yesofficial - YES - Owner of a Lonely Heart (Official Music Video) [SVOuYquXuuc].webm	YES	yes	yes	Owner of a Lonely Heart (Official Music Video)	owner of a lonely heart (official music video)	owner of a lonely heart official music video	SVOuYquXuuc
274	0274 - Blue Oyster Cult - Joan Crawford [30AHijrUYOo].webm	Blue Oyster Cult	blue oyster cult	blue oyster cult	Joan Crawford	joan crawford	joan crawford	30AHijrUYOo
275	0275 - Lou Reed - Lou Reed - Walk on the Wild Side (Official Audio) [oG6fayQBm9w].webm	Lou Reed	lou reed	lou reed	Walk on the Wild Side (Official Audio)	walk on the wild side (official audio)	walk on the wild side official audio	oG6fayQBm9w
276	0276 - The Police - The Police - Message In A Bottle (Official Music Video) [MbXWrmQW-OE].webm	The Police	the police	the police	Message In A Bottle (Official Music Video)	message in a bottle (official music video)	message in a bottle official music video	MbXWrmQW-OE
277	0277 - EDITORS - Editors - Barricades (the Blanck Mass recording) [FuuNk0E4lbY].webm	Editors	editors	editors	Barricades (the Blanck Mass recording)	barricades (the blanck mass recording)	barricades the blanck mass recording	FuuNk0E4lbY
278	0278 - nettwerkbackstage - Massive Attack Ft. Hope Sandoval - Paradise Circus [daoY5iPorMc].webm	Massive Attack Ft. Hope Sandoval	massive attack ft. hope sandoval	massive attack ft hope sandoval	Paradise Circus	paradise circus	paradise circus	daoY5iPorMc
279	0279 - The Irrepressibles - In This Shirt [-iNHtdL-zu4].webm	The Irrepressibles	the irrepressibles	the irrepressibles	In This Shirt	in this shirt	in this shirt	-iNHtdL-zu4
280	0280 - The Irrepressibles - The Irrepressibles - In This Shirt (Royksopp Remix) [Official Art Track] [RA4ek4oQuIg].webm	The Irrepressibles	the irrepressibles	the irrepressibles	In This Shirt (Royksopp Remix) [Official Art Track]	in this shirt (royksopp remix) [official art track]	in this shirt royksopp remix official art track	RA4ek4oQuIg
281	0281 - S.P. RECORDS - STRACHY NA LACHY - Dzień dobry, kocham Cię [OFFICIAL VIDEO] [_EdZbopNeS8].webm	STRACHY NA LACHY	strachy na lachy	strachy na lachy	Dzień dobry, kocham Cię [OFFICIAL VIDEO]	dzień dobry, kocham cię [official video]	dzien dobry kocham cie official video	_EdZbopNeS8
282	0282 - Ten Years After - I'd Love to Change the World (2004 Remaster) [RgNVEHcprcc].webm	Ten Years After	ten years after	ten years after	I'd Love to Change the World (2004 Remaster)	i'd love to change the world (2004 remaster)	i d love to change the world 2004 remaster	RgNVEHcprcc
283	0283 - Dire Straits - Six Blade Knife [yRN04uR9kcc].webm	Dire Straits	dire straits	dire straits	Six Blade Knife	six blade knife	six blade knife	yRN04uR9kcc
284	0284 - Red Bull Records - AWOLNATION - Sail (Official Music Video) [tgIqecROs5M].webm	AWOLNATION	awolnation	awolnation	Sail (Official Music Video)	sail (official music video)	sail official music video	tgIqecROs5M
285	0285 - Kortez Oficjalny Kanał - KORTEZ - Zostań [Oficjalny Klip] [mgWGR-g9mFQ].webm	KORTEZ	kortez	kortez	Zostań [Oficjalny Klip]	zostań [oficjalny klip]	zostan oficjalny klip	mgWGR-g9mFQ
286	0286 - Dire Straits - Dire Straits - Sultans Of Swing (Official Music Video) [h0ffIJ7ZO4U].webm	Dire Straits	dire straits	dire straits	Sultans Of Swing (Official Music Video)	sultans of swing (official music video)	sultans of swing official music video	h0ffIJ7ZO4U
287	0287 - Bill Withers - Bill Withers - Ain't No Sunshine (Official Audio) [YuKfiH0Scao].webm	Bill Withers	bill withers	bill withers	Ain't No Sunshine (Official Audio)	ain't no sunshine (official audio)	ain t no sunshine official audio	YuKfiH0Scao
288	0288 - Barns Courtney - Barns Courtney - Fire [hLEoictM8p4].webm	Barns Courtney	barns courtney	barns courtney	Fire	fire	fire	hLEoictM8p4
289	0289 - The Waterboys - Fisherman's Blues (2006 Remaster) [zuceIiM6vzk].webm	The Waterboys	the waterboys	the waterboys	Fisherman's Blues (2006 Remaster)	fisherman's blues (2006 remaster)	fisherman s blues 2006 remaster	zuceIiM6vzk
290	0290 - RHINO - Dusty Springfield - Son of a Preacher Man (Official Audio) [oAZLgsDRUv4].webm	Dusty Springfield	dusty springfield	dusty springfield	Son of a Preacher Man (Official Audio)	son of a preacher man (official audio)	son of a preacher man official audio	oAZLgsDRUv4
291	0291 - This Is Queen - Another One Bites The Dust (Remastered 2011) [1tLYYSofs3U].webm	Queen	queen	queen	Another One Bites The Dust (Remastered 2011)	another one bites the dust (remastered 2011)	another one bites the dust remastered 2011	1tLYYSofs3U
292	0292 - Of Monsters and Men - Of Monsters and Men - Love Love Love (Official Lyric Video) [beiPP_MGz6I].webm	Of Monsters and Men	of monsters and men	of monsters and men	Love Love Love (Official Lyric Video)	love love love (official lyric video)	love love love official lyric video	beiPP_MGz6I
293	0293 - Sting - Sting - Englishman In New York [d27gTrPPAyk].webm	Sting	sting	sting	Englishman In New York	englishman in new york	englishman in new york	d27gTrPPAyk
294	0294 - RHINO - America - A Horse With No Name (Official Audio) [na47wMFfQCo].webm	America	america	america	A Horse With No Name (Official Audio)	a horse with no name (official audio)	a horse with no name official audio	na47wMFfQCo
295	0295 - RHINO - B.B. King - The Thrill Is Gone [Crossroads 2010] (Official Live Video) [SgXSomPE_FY].webm	B.B. King	b.b. king	b b king	The Thrill Is Gone [Crossroads 2010] (Official Live Video)	the thrill is gone [crossroads 2010] (official live video)	the thrill is gone crossroads 2010 official live video	SgXSomPE_FY
296	0296 - First Aid Kit - First Aid Kit - Wolf (Official Music Video) [Czj7SyPNRto].webm	First Aid Kit	first aid kit	first aid kit	Wolf (Official Music Video)	wolf (official music video)	wolf official music video	Czj7SyPNRto
297	0297 - Pink Floyd - Pink Floyd - Another Brick In The Wall, Part Two (Official Music Video) [HrxX9TBj2zY].webm	Pink Floyd	pink floyd	pink floyd	Another Brick In The Wall, Part Two (Official Music Video)	another brick in the wall, part two (official music video)	another brick in the wall part two official music video	HrxX9TBj2zY
298	0298 - Fueled By Ramen - twenty one pilots： Stressed Out [OFFICIAL VIDEO] [pXRviuL6vMY].webm	twenty one pilots	twenty one pilots	twenty one pilots	Stressed Out [OFFICIAL VIDEO]	stressed out [official video]	stressed out official video	pXRviuL6vMY
299	0299 - Dire Straits - Dire Straits - Once Upon A Time In The West (Visualiser) [KIa56_PHorE].webm	Dire Straits	dire straits	dire straits	Once Upon A Time In The West (Visualiser)	once upon a time in the west (visualiser)	once upon a time in the west visualiser	KIa56_PHorE
