tag,definition
ulga-utracona,"Ulga byla, ale juz jej nie ma: juz nie."
ulga-z-zewnatrz,"Zejscie napiecia zalezy od zewnetrznego regulatora. Samo oczekiwanie na cos zewnetrznego nie wystarcza."
schronienie,""
dotarcie,""
cel-nieosiagniety,""
pogon,"Aktywny ruch ku czemus. Odróżnić od ucieczka, czyli ruchu od czegos."
powrot-do,"Ruch albo pragnienie ruchu ku wczesniejszemu miejscu, czasowi lub stanowi."
wystarczy,"Dobra sytosc: to mi wystarcza i jest dobrze."
nigdy-dosc,"Potrzeba wiecej bez punktu sytosci."
dosc-przesyt,"Cierpienie nadmiarem. Nie sytosc, tylko za duzo."
euforia-naped,""
zaraz-minie,"Dobry stan ma wpisany termin waznosci; podmiot oczekuje jego konca."
przetrwanie,""
utrata,""
przez-szczescie,"Dobry wynik zostaje przypisany losowi lub przypadkowi, nie sobie."
bezsilnosc,"Potrzeba zmiany istnieje, ale podmiot nie ma skutecznego wplywu."
anhedonia,"Rzeczy, ktore normalnie powinny dawac przyjemnosc, nie daja jej."
brak-nadziei,""
bezwartosciowosc,""
wina,""
wycofanie,""
brak-napedu,"Brak energii do rozpoczecia albo kontynuowania dzialania mimo potrzeby."
wyczerpanie,"Zasoby sa zuzyte; podmiot nie ma juz sily. Nie to samo co sam brak rozpoczecia dzialania."
zobojetnienie,"Wszystko jedno; zanika znaczenie albo reakcja."
pustka-emocjonalna,"Brak odczuwalnej emocji zamiast smutku, leku czy innego afektu."
spowolnienie,""
bezsennosc,""
nadmierny-sen,""
smierc-wlasna,"Wlasna smierc albo nieistnienie sa wprost obecne jako mozliwosc, pragnienie lub wyobrazenie. Nie ogolny motyw smierci."
znikniecie,"Pragnienie przestania byc obecnym, widocznym albo dostepnym, bez koniecznej literalnej smierci."
zamartwianie,""
lek-antycypacyjny,"Alarm dotyczy tego, co moze dopiero nadejsc."
katastrofizacja,""
hiperczujnosc,""
niepewnosc-nie-do-zniesienia,""
kontrola,"Zmniejszanie zagrozenia przez kontrolowanie sytuacji, ludzi albo siebie."
sprawdzanie,"Ponowne upewnianie sie, czy jest bezpiecznie albo poprawnie. To czynność sprawdzajaca, nie ogolna kontrola."
potrzeba-zapewnienia,"Potrzebne jest potwierdzenie od innej osoby, ze jest dobrze albo bezpiecznie."
napiecie-ciala,""
niemoznosc-odpuszczenia,"Alarm trwa mimo braku nowej informacji i mimo proby zakonczenia go."
unikanie-z-leku,""
zamrozenie,"Zagrozenie zatrzymuje dzialanie; ani walka, ani ucieczka."
przeciazenie-przyszloscia,"Jednoczesnie obecnych jest zbyt wiele mozliwych przyszlych konsekwencji."
samokontrola-spoleczna,"Biezace pilnowanie wlasnych slow, gestow i reakcji przy innych."
ukrywanie-reakcji,""
ukrywanie-potrzeb,""
dopasowanie-roli,""
nasladowanie,""
skryptowanie,""
analiza-po-kontakcie,"Rozbieranie kontaktu lub rozmowy po fakcie."
analiza-przed-kontaktem,"Przygotowywanie mozliwych przebiegow kontaktu przed nim."
kontrola-wizerunku,"Sterowanie tym, jak podmiot ma byc widziany przez innych. Nie musi oznaczac biezacego pilnowania kazdego gestu."
maskowanie-koszt,"Koszt maskowania: zmeczenie, napiecie, przeciazenie albo utrata siebie."
rozpad-po-masce,"Crash albo zalamanie regulacji po okresie trzymania sie i maskowania."
ja-publiczne-ja-prywatne,"Tekst rozdziela mnie dla ludzi od mnie poza ludzmi."
nierozpoznanie-siebie,"Podmiot nie wie juz, ktora wersja zachowania albo emocji jest jego wlasna."
do-siebie,""
do-innych,"Emocja, oskarzenie, agresja albo ocena sa skierowane na konkretne osoby lub grupe."
do-swiata,"Emocja albo ocena sa skierowane na rzeczywistosc, system, los lub swiat jako calosc."
ku-przeszlosci,""
ku-przyszlosci,""
ku-komus,"Ruch emocjonalny lub dzialanie zmierza do osoby. To kierunek ruchu, nie tylko adresat emocji."
od-kogos,"Ruch emocjonalny lub dzialanie oddala od osoby."
ku-swiatu,"Ruch na zewnatrz, ku kontaktowi, dzialaniu albo doswiadczeniu."
od-swiata,"Ruch od kontaktu, swiata i bodzcow."
wysokie-pobudzenie,""
niskie-pobudzenie,""
eskalacja,""
wygaszanie,""
zablokowanie,"Energia albo potrzeba dzialania istnieje, ale ruch nie moze sie wydarzyc."
rozpad,"Wczesniejsza organizacja, kontrola albo zdolnosc dzialania zalamuje sie."
sprawczosc,""
wiem-co-czuje,""
nie-wiem-co-czuje,"Podmiot wprost nie wie, co czuje albo co sie z nim dzieje emocjonalnie."
czuje-bez-nazwy,"Stan jest wyraznie odczuwany, ale pozostaje bez nazwy. To nie to samo co brak wiedzy, czy w ogole cos sie czuje."
emocja-przez-cialo,"Dostep do emocji odbywa sie przez sygnaly ciala."
emocja-z-opoznieniem,"Rozpoznanie emocji następuje dopiero po czasie albo po wydarzeniu."
emocja-przez-skutek,"Stan jest rozpoznawalny glownie po zachowaniu, konsekwencji albo reakcji."
emocja-przez-innego,"Emocja zostaje nazwana albo rozpoznana przez inna osobe."
sprzeczne-emocje,"Jednoczesnie obecne sa emocje o przeciwnym kierunku albo funkcji."
smutek,"Wyrazne przygnebienie, smutek, placz albo cierpienie emocjonalne."
melancholia,"Rozlany, trwalszy, refleksyjny smutek; nie ostry smutek chwili."
radosc,""
lek,"Poczucie zagrozenia albo niepokoju bez koniecznej bezposredniej, konkretnej grozby."
strach,"Reakcja na rozpoznane, konkretne zagrozenie obecne albo bliskie. Odróżnić od leku."
wstyd,""
wstret,""
zazdrosc,""
nadzieja,""
rozpacz,"Skrajny smutek polaczony z poczuciem braku wyjscia albo utraty."
czulosc,""
pozadanie,"Pragnienie erotyczne albo cielesne; nie zwykly cel ani tęsknota."
frustracja,""
nuda,"Aktualny stan znudzenia. Nie to samo co nuda-nietolerancja."
zal,""
duma,""
