audio_number	audio_id	youtube_video_id	audio_artist	audio_title	audio_artist_parsed	audio_title_parsed	candidate_utwu_id	candidate_spotify_order	candidate_artist	candidate_title	candidate_artist_parsed	candidate_title_parsed	score	artist_score	title_score	gap_to_second	quality	second_utwu_id	second_artist	second_title	second_score
271	audio-0271	7G2-FPlvY58	The Doors	Riders on the Storm (Official Audio)	the doors	riders on the storm official audio	utwu-000622	317	The Doors	Riders on the Storm	the doors	riders on the storm	1.0000	1.0000	1.0000	0.3534	exact	utwu-000618	The Doors	Light My Fire	0.6466
272	audio-0272	VoREMTRNAX0	Deep Purple	Demon's Eye (1996 Remaster)	deep purple	demon s eye 1996 remaster	utwu-000623	316	Deep Purple	Demon's Eye - 1996 Remaster	deep purple	demon s eye 1996 remaster	1.0000	1.0000	1.0000	0.5769	exact	utwu-000193	Jeanne Added	Be Sensational	0.4231
273	audio-0273	SVOuYquXuuc	YES	Owner of a Lonely Heart (Official Music Video)	yes	owner of a lonely heart official music video	utwu-000624	315	Yes	Owner of a Lonely Heart	yes	owner of a lonely heart	1.0000	1.0000	1.0000	0.5214	exact	utwu-000447	Noir Désir	Le vent nous portera	0.4786
274	audio-0274	30AHijrUYOo	Blue Oyster Cult	Joan Crawford	blue oyster cult	joan crawford	utwu-000625	314	Blue Öyster Cult	Joan Crawford	blue oyster cult	joan crawford	1.0000	1.0000	1.0000	0.5435	exact	utwu-000366	Dead Or Alive	You Spin Me Round (Like a Record)	0.4565
275	audio-0275	oG6fayQBm9w	Lou Reed	Walk on the Wild Side (Official Audio)	lou reed	walk on the wild side official audio	utwu-000626	313	Lou Reed	Walk On the Wild Side	lou reed	walk on the wild side	1.0000	1.0000	1.0000	0.5026	exact	utwu-000282	Tok Tok Tok	Walk On The Wild Side	0.4974
276	audio-0276	MbXWrmQW-OE	The Police	Message In A Bottle (Official Music Video)	the police	message in a bottle official music video	utwu-000627	312	The Police	Message In A Bottle	the police	message in a bottle	1.0000	1.0000	1.0000	0.4947	exact	utwu-000961	The Police	Every Breath You Take	0.5053
277	audio-0277	FuuNk0E4lbY	Editors	Barricades (the Blanck Mass recording)	editors	barricades the blanck mass recording	utwu-000628	311	Editors	Barricades - The Blanck Mass recording	editors	barricades the blanck mass recording	1.0000	1.0000	1.0000	0.5500	exact	utwu-000639	Barns Courtney	Fire	0.4500
278	audio-0278	daoY5iPorMc	Massive Attack Ft. Hope Sandoval	Paradise Circus	massive attack hope sandoval	paradise circus	utwu-000629	310	Massive Attack, Hope Sandoval	Paradise Circus	massive attack hope sandoval	paradise circus	1.0000	1.0000	1.0000	0.5600	exact	utwu-000593	Guts	Peaceful Life	0.4400
279	audio-0279	-iNHtdL-zu4	The Irrepressibles	In This Shirt	the irrepressibles	in this shirt	utwu-000630	309	The Irrepressibles	In This Shirt	the irrepressibles	in this shirt	1.0000	1.0000	1.0000	0.2500	exact	utwu-000631	The Irrepressibles, Röyksopp	In This Shirt - Royksopp Remix	0.7500
281	audio-0281	_EdZbopNeS8	STRACHY NA LACHY	Dzień dobry, kocham Cię [OFFICIAL VIDEO]	strachy na lachy	dzien dobry kocham cie official video	utwu-000632	307	Strachy Na Lachy	Dzień dobry, kocham Cię	strachy na lachy	dzien dobry kocham cie	1.0000	1.0000	1.0000	0.4931	exact	utwu-000619	Strachy Na Lachy	Piła tango	0.5069
282	audio-0282	RgNVEHcprcc	Ten Years After	I'd Love to Change the World (2004 Remaster)	ten years after	i d love to change the world 2004 remaster	utwu-000633	306	Ten Years After	I'd Love to Change the World - 2004 Remaster	ten years after	i d love to change the world 2004 remaster	1.0000	1.0000	1.0000	0.6165	exact	utwu-000149	Swiernalis	Dzikie Palmy	0.3835
283	audio-0283	yRN04uR9kcc	Dire Straits	Six Blade Knife	dire straits	six blade knife	utwu-000634	305	Dire Straits	Six Blade Knife	dire straits	six blade knife	1.0000	1.0000	1.0000	0.2988	exact	utwu-000637	Dire Straits	Sultans Of Swing	0.7012
284	audio-0284	tgIqecROs5M	AWOLNATION	Sail (Official Music Video)	awolnation	sail official music video	utwu-000635	304	AWOLNATION	Sail	awolnation	sail	1.0000	1.0000	1.0000	0.4697	exact	utwu-000602	MEUTE	Sail	0.5303
286	audio-0286	h0ffIJ7ZO4U	Dire Straits	Sultans Of Swing (Official Music Video)	dire straits	sultans of swing official music video	utwu-000637	302	Dire Straits	Sultans Of Swing	dire straits	sultans of swing	1.0000	1.0000	1.0000	0.2988	exact	utwu-000634	Dire Straits	Six Blade Knife	0.7012
287	audio-0287	YuKfiH0Scao	Bill Withers	Ain't No Sunshine (Official Audio)	bill withers	ain t no sunshine official audio	utwu-000638	301	Bill Withers	Ain't No Sunshine	bill withers	ain t no sunshine	1.0000	1.0000	1.0000	0.4988	exact	utwu-000281	Carmen McRae	The Sound of Silence	0.5012
288	audio-0288	hLEoictM8p4	Barns Courtney	Fire	barns courtney	fire	utwu-000639	300	Barns Courtney	Fire	barns courtney	fire	1.0000	1.0000	1.0000	0.5393	exact	utwu-000277	DARKSIDE	Paper Trails - Live in D, July 17, 2014	0.4607
289	audio-0289	zuceIiM6vzk	The Waterboys	Fisherman's Blues (2006 Remaster)	the waterboys	fisherman s blues 2006 remaster	utwu-000640	299	The Waterboys	Fisherman's Blues - 2006 Remaster	the waterboys	fisherman s blues 2006 remaster	1.0000	1.0000	1.0000	0.5500	exact	utwu-000491	LP	Lost on You	0.4500
290	audio-0290	oAZLgsDRUv4	Dusty Springfield	Son of a Preacher Man (Official Audio)	dusty springfield	son of a preacher man official audio	utwu-000642	297	Dusty Springfield	Son Of A Preacher Man	dusty springfield	son of a preacher man	1.0000	1.0000	1.0000	0.5911	exact	utwu-000044	Peter Gabriel	My Body Is A Cage	0.4089
291	audio-0291	1tLYYSofs3U	Queen	Another One Bites The Dust (Remastered 2011)	queen	another one bites the dust remastered 2011	utwu-000643	296	Queen	Another One Bites The Dust - Remastered 2011	queen	another one bites the dust remastered 2011	1.0000	1.0000	1.0000	0.2406	exact	utwu-000008	Queen	I'm Going Slightly Mad - Remastered 2011	0.7594
292	audio-0292	beiPP_MGz6I	Of Monsters and Men	Love Love Love (Official Lyric Video)	of monsters and men	love love love official lyric video	utwu-000644	295	Of Monsters and Men	Love Love Love	of monsters and men	love love love	1.0000	1.0000	1.0000	0.3300	exact	utwu-000956	Of Monsters and Men	Wolves Without Teeth	0.6700
293	audio-0293	d27gTrPPAyk	Sting	Englishman In New York	sting	englishman in new york	utwu-000645	294	Sting	Englishman In New York	sting	englishman in new york	1.0000	1.0000	1.0000	0.5741	exact	utwu-000494	Soft Cell	Tainted Love	0.4259
296	audio-0296	Czj7SyPNRto	First Aid Kit	Wolf (Official Music Video)	first aid kit	wolf official music video	utwu-000648	291	First Aid Kit	Wolf	first aid kit	wolf	1.0000	1.0000	1.0000	0.4933	exact	utwu-000486	Flunk	Sanctuary	0.5067
297	audio-0297	HrxX9TBj2zY	Pink Floyd	Another Brick In The Wall, Part Two (Official Music Video)	pink floyd	another brick in the wall part two official music video	utwu-000649	290	Pink Floyd	Another Brick in the Wall, Pt. 2	pink floyd	another brick in the wall pt 2	0.9600	1.0000	0.9273	0.3057	high	utwu-000735	Pink Floyd	Wearing The Inside Out - 2011 Remaster	0.6543
298	audio-0298	pXRviuL6vMY	twenty one pilots	Stressed Out [OFFICIAL VIDEO]	twenty one pilots	stressed out official video	utwu-000650	289	Twenty One Pilots	Stressed Out	twenty one pilots	stressed out	1.0000	1.0000	1.0000	0.4857	exact	utwu-000044	Peter Gabriel	My Body Is A Cage	0.5143
299	audio-0299	KIa56_PHorE	Dire Straits	Once Upon A Time In The West (Visualiser)	dire straits	once upon a time in the west visualiser	utwu-000651	288	Dire Straits	Once Upon A Time In The West	dire straits	once upon a time in the west	1.0000	1.0000	1.0000	0.3300	exact	utwu-000637	Dire Straits	Sultans Of Swing	0.6700
