term_pl	term_en	typ	maciek	concept_id	concept_key	uwagi
dyskontowanie nagrody	reward discounting	keyword		84	reward_discounting	istnieje w SQL
dysregulacja emocjonalna	emotion dysregulation	keyword		85	emotion_dysregulation	istnieje w SQL
dysregulacja jedzenia	dysregulated eating	keyword		86	dysregulated_eating	istnieje w SQL
efekt ironiczny	ironic process effect	keyword		87	ironic_process_effect	istnieje w SQL
ekspozycja	exposure	keyword		88	exposure	istnieje w SQL
elastyczność	flexibility	keyword		89	flexibility	istnieje w SQL
elektromagnetyzm	electromagnetism	keyword		90	electromagnetism	istnieje w SQL
emocje	emotions	keyword		91	emotions	istnieje w SQL
empatia	empathy	keyword		92	empathy	istnieje w SQL
entropia	entropy	keyword		93	entropy	istnieje w SQL
epidemiologia	epidemiology	keyword		94	epidemiology	istnieje w SQL
estymacja	estimation	keyword		95	estimation	istnieje w SQL
falsyfikacja	falsification	keyword		96	falsification	istnieje w SQL
fałszywy kontekst	false context	keyword		97	false_context	istnieje w SQL
fenotyp	phenotype	keyword		98	phenotype	istnieje w SQL
fenotyp AuDHD	AuDHD phenotype	keyword		99	audhd_phenotype	istnieje w SQL
filozofia nauki	philosophy of science	keyword		100	philosophy_of_science	istnieje w SQL
filtrowanie sensoryczne	sensory filtering	keyword		101	sensory_filtering	istnieje w SQL
fizyka	physics	keyword		102	physics	istnieje w SQL
formy różniczkowe	differential forms	keyword		103	differential_forms	istnieje w SQL
framing	framing	keyword		104	framing	istnieje w SQL
fundamenty IT	foundations of information technology	keyword		105	foundations_of_information_technology	istnieje w SQL
fundatorzy IT	founders of information technology	keyword		106	founders_of_information_technology	istnieje w SQL
funkcje wykonawcze	executive function	keyword		107	executive_function	istnieje w SQL
funkcjonowanie pod presją	performance under pressure	keyword		108	performance_under_pressure	istnieje w SQL
genetyka	genetics	keyword		109	genetics	istnieje w SQL
geometria	geometry	keyword		110	geometry	istnieje w SQL
gist	gist	keyword		111	gist	istnieje w SQL
głęboki nacisk	deep pressure	keyword		112	deep_pressure	istnieje w SQL
głos pacjentów	patient perspectives	keyword		113	patient_perspectives	istnieje w SQL
głód	hunger	keyword		114	hunger	istnieje w SQL
głód bliskości	need for intimacy	keyword		115	need_for_intimacy	istnieje w SQL
GNU	GNU	keyword		116	gnu	istnieje w SQL
graf zależności	dependency graph	keyword		117	dependency_graph	istnieje w SQL
granica Landauera	Landauer limit	keyword		118	landauer_limit	istnieje w SQL
granica Tsirelsona	Tsirelson bound	keyword		119	tsirelson_bound	istnieje w SQL
granice	boundaries	keyword		120	boundaries	istnieje w SQL
grawitacja	gravity	keyword		121	gravity	istnieje w SQL
grawitacja kwantowa	quantum gravity	keyword		122	quantum_gravity	istnieje w SQL
gra słów	wordplay	keyword		123	wordplay	istnieje w SQL
gromadzenie informacji	information accumulation	keyword		124	information_accumulation	istnieje w SQL
GUS	Statistics Poland	keyword		125	statistics_poland	istnieje w SQL
habituacja	habituation	keyword		126	habituation	istnieje w SQL
Hadoop	Hadoop	keyword		127	hadoop	istnieje w SQL
HALT	HALT	keyword		128	halt	istnieje w SQL
hamowanie reakcji	response inhibition	keyword		129	response_inhibition	istnieje w SQL
hiperfokus	hyperfocus	keyword		130	hyperfocus	istnieje w SQL
hipokamp	hippocampus	keyword		131	hippocampus	istnieje w SQL
hipoteza	hypothesis	keyword		132	hypothesis	istnieje w SQL
historia diagnostyki	diagnostic history	keyword		133	diagnostic_history	istnieje w SQL
historia informatyki	history of computing	keyword		134	history_of_computing	istnieje w SQL
historia medyczna	medical history	keyword		135	medical_history	istnieje w SQL
historia rozmowy	conversation history	keyword		136	conversation_history	istnieje w SQL
humor	humor	keyword		137	humor	istnieje w SQL
identyfikacja	identification	keyword		138	identification	istnieje w SQL
impulsywność	impulsivity	keyword		139	impulsivity	istnieje w SQL
impulsywność społeczna	social impulsivity	keyword		140	social_impulsivity	istnieje w SQL
inercja autystyczna	autistic inertia	keyword		141	autistic_inertia	istnieje w SQL
infodumping	infodumping	keyword		142	infodumping	istnieje w SQL
infodumping jako język miłości	infodumping as a love language	keyword		143	infodumping_as_a_love_language	istnieje w SQL
informatyka	computer science	keyword		144	computer_science	istnieje w SQL
inicjowanie zadań	task initiation	keyword		145	task_initiation	istnieje w SQL
inkubacja	incubation	keyword		146	incubation	istnieje w SQL
instrukcje pozytywne	positive instructions	keyword		147	positive_instructions	istnieje w SQL
intelektualizacja	intellectualization	keyword		148	intellectualization	istnieje w SQL
intensywna empatia	heightened empathy	keyword		149	heightened_empathy	istnieje w SQL
intensywność	intensity	keyword		150	intensity	istnieje w SQL
interocepcja	interoception	keyword		151	interoception	istnieje w SQL
interpretacja kliniczna	clinical interpretation	keyword		152	clinical_interpretation	istnieje w SQL
JavaScript	JavaScript	keyword		153	javascript	istnieje w SQL
jedzenie	eating	keyword		154	eating	istnieje w SQL
języki miłości	love languages	keyword		155	love_languages	istnieje w SQL
języki programowania	programming languages	keyword		156	programming_languages	istnieje w SQL
język C	C programming language	keyword		157	c_programming_language	istnieje w SQL
kameleonizm	social chameleonism	keyword		158	social_chameleonism	istnieje w SQL
Ken Thompson	Ken Thompson	keyword		159	ken_thompson	istnieje w SQL
klasyfikacja diagnostyczna	diagnostic classification	keyword		160	diagnostic_classification	istnieje w SQL
kod źródłowy	source code	keyword		161	source_code	istnieje w SQL
kognitywistyka	cognitive science	keyword		162	cognitive_science	istnieje w SQL
kohorta	cohort	keyword		163	cohort	istnieje w SQL
kolejność zadań	task sequencing	keyword		164	task_sequencing	istnieje w SQL
komisja konkursowa	selection committee	keyword		165	selection_committee	istnieje w SQL
kompensacja	compensation	keyword		166	compensation	istnieje w SQL
kompensacja autyzm–ADHD	autism–ADHD compensation	keyword		167	autism_adhd_compensation	istnieje w SQL
kompetencje	competencies	keyword		168	competencies	istnieje w SQL
kompetencje terapeuty	therapist competence	keyword		169	therapist_competence	istnieje w SQL
kompilatory	compilers	keyword		170	compilers	istnieje w SQL
kompresja	compression	keyword		171	compression	istnieje w SQL
kompresja stratna	lossy compression	keyword		172	lossy_compression	istnieje w SQL
kompromis poznawczy	cognitive trade-off	keyword		173	cognitive_trade_off	istnieje w SQL
komputery osobiste	personal computers	keyword		174	personal_computers	istnieje w SQL
komunikacja	communication	keyword		175	communication	istnieje w SQL
komunikacja niewerbalna	nonverbal communication	keyword		176	nonverbal_communication	istnieje w SQL
komunikacja społeczna	social communication	keyword		177	social_communication	istnieje w SQL
konfabulacja	confabulation	keyword		178	confabulation	istnieje w SQL
konflikt interesów	conflict of interest	keyword		179	conflict_of_interest	istnieje w SQL
konflikt potrzeb	needs conflict	keyword		180	needs_conflict	istnieje w SQL
konflikt relacyjny	relational conflict	keyword		181	relational_conflict	istnieje w SQL
konflikt rutyna–nowość	routine–novelty conflict	keyword		182	routine_novelty_conflict	istnieje w SQL
konflikt wewnętrzny	internal conflict	keyword		183	internal_conflict	istnieje w SQL
konieczność	necessity	keyword		184	necessity	istnieje w SQL
konsolidacja pamięci	memory consolidation	keyword		185	memory_consolidation	istnieje w SQL
kontakt społeczny	social contact	keyword		186	social_contact	istnieje w SQL
kontekstowość	context dependence	keyword		187	context_dependence	istnieje w SQL
kontekst rozmowy	conversational context	keyword		188	conversational_context	istnieje w SQL
kontrola wykonawcza	executive control	keyword		189	executive_control	istnieje w SQL
kontrprzykład	counterexample	keyword		190	counterexample	istnieje w SQL
koordynacja ruchowa	motor coordination	keyword		191	motor_coordination	istnieje w SQL
kora mózgowa	cerebral cortex	keyword		192	cerebral_cortex	istnieje w SQL
korekta błędu	error correction	keyword		193	error_correction	istnieje w SQL
korekta zewnętrzna	external correction	keyword		194	external_correction	istnieje w SQL
korelacja	correlation	keyword		195	correlation	istnieje w SQL
kosmologia kwantowa	quantum cosmology	keyword		196	quantum_cosmology	istnieje w SQL
koszt poznawczy	cognitive cost	keyword		197	cognitive_cost	istnieje w SQL
kreatywność	creativity	keyword		198	creativity	istnieje w SQL
kryzys tożsamości	identity crisis	keyword		199	identity_crisis	istnieje w SQL
leczenie ADHD	ADHD treatment	keyword		200	adhd_treatment	istnieje w SQL
leki	medications	keyword		201	medications	istnieje w SQL
lęk	anxiety	keyword		202	anxiety	istnieje w SQL
lęk kompensacyjny	compensatory anxiety	keyword		203	compensatory_anxiety	istnieje w SQL
lęk przed błędem	fear of error	keyword		204	fear_of_error	istnieje w SQL
lęk relacyjny	relationship anxiety	keyword		205	relationship_anxiety	istnieje w SQL
lęk społeczny	social anxiety	keyword		206	social_anxiety	istnieje w SQL
liczba dorosłych	number of adults	keyword		207	number_of_adults	istnieje w SQL
liczba osób	number of individuals	keyword		208	number_of_individuals	istnieje w SQL
limit czasu	time limit	keyword		209	time_limit	istnieje w SQL
Linus Torvalds	Linus Torvalds	keyword		210	linus_torvalds	istnieje w SQL
Linux	Linux	keyword		211	linux	istnieje w SQL
małomówność	reduced verbal output	keyword		212	reduced_verbal_output	istnieje w SQL
MapReduce	MapReduce	keyword		213	mapreduce	istnieje w SQL
maskowanie	camouflaging	keyword		214	camouflaging	istnieje w SQL
maskowanie i impulsywność społeczna	camouflaging and social impulsivity	keyword		215	camouflaging_and_social_impulsivity	istnieje w SQL
mechanika klasyczna	classical mechanics	keyword		216	classical_mechanics	istnieje w SQL
mechanika kwantowa	quantum mechanics	keyword		217	quantum_mechanics	istnieje w SQL
mechanika płynów	fluid mechanics	keyword		218	fluid_mechanics	istnieje w SQL
mechanizmy obronne	defense mechanisms	keyword		219	defense_mechanisms	istnieje w SQL
mechanizmy społeczne	social mechanisms	keyword		220	social_mechanisms	istnieje w SQL
Memento	Memento	keyword		221	memento	istnieje w SQL
metadane	metadata	keyword		222	metadata	istnieje w SQL
metafizyka	metaphysics	keyword		223	metaphysics	istnieje w SQL
metafora	metaphor	keyword		224	metaphor	istnieje w SQL
metapoziom	meta-level	keyword		225	meta_level	istnieje w SQL
metapoznanie	metacognition	keyword		226	metacognition	istnieje w SQL
metaprogramowanie	metaprogramming	keyword		227	metaprogramming	istnieje w SQL
mindfulness	mindfulness	keyword		228	mindfulness	istnieje w SQL
model obliczeniowy	computational model	keyword		229	computational_model	istnieje w SQL
model statystyczny	statistical model	keyword		230	statistical_model	istnieje w SQL
model wewnętrzny	internal model	keyword		231	internal_model	istnieje w SQL
monolog wewnętrzny	inner speech	keyword		232	inner_speech	istnieje w SQL
monotropizm	monotropism	keyword		233	monotropism	istnieje w SQL
motywacja	motivation	keyword		234	motivation	istnieje w SQL
myślenie dychotomiczne	dichotomous thinking	keyword		235	dichotomous_thinking	istnieje w SQL
myślenie oddolne	bottom-up processing	keyword		236	bottom_up_processing	istnieje w SQL
myślenie systemowe	systems thinking	keyword		237	systems_thinking	istnieje w SQL
nadmierne przepraszanie	excessive apologizing	keyword		238	excessive_apologizing	istnieje w SQL
nadwrażliwość	hypersensitivity	keyword		239	hypersensitivity	istnieje w SQL
nagroda natychmiastowa	immediate reward	keyword		240	immediate_reward	istnieje w SQL
narracja	narrative	keyword		241	narrative	istnieje w SQL
natłok myśli	racing thoughts	keyword		242	racing_thoughts	istnieje w SQL
nawigacja systemu	system navigation	keyword		243	system_navigation	istnieje w SQL
nawyki	habits	keyword		244	habits	istnieje w SQL
nawyki wszystko albo nic	all-or-nothing habits	keyword		245	all_or_nothing_habits	istnieje w SQL
negacja	negation	keyword		246	negation	istnieje w SQL
neurobiologia	neurobiology	keyword		247	neurobiology	istnieje w SQL
neurobiologia snu	sleep neurobiology	keyword		248	sleep_neurobiology	istnieje w SQL
niedodiagnozowanie	underdiagnosis	keyword		249	underdiagnosis	istnieje w SQL
niedopasowanie interwencji	intervention mismatch	keyword		250	intervention_mismatch	istnieje w SQL
niedowrażliwość	hyposensitivity	keyword		251	hyposensitivity	istnieje w SQL
niejednoznaczność	ambiguity	keyword		252	ambiguity	istnieje w SQL
nieliniowe wykonywanie zadań	nonlinear task execution	keyword		253	nonlinear_task_execution	istnieje w SQL
nieliniowość	nonlinearity	keyword		254	nonlinearity	istnieje w SQL
nielokalność	nonlocality	keyword		255	nonlocality	istnieje w SQL
niepewność	uncertainty	keyword		256	uncertainty	istnieje w SQL
niepodważanie diagnozy	diagnostic acceptance	keyword		257	diagnostic_acceptance	istnieje w SQL
nieporozumienie	misunderstanding	keyword		258	misunderstanding	istnieje w SQL
nierówności Bella	Bell inequalities	keyword		259	bell_inequalities	istnieje w SQL
niesprawiedliwość	injustice	keyword		260	injustice	istnieje w SQL
nietypowe reakcje na leki	atypical drug responses	keyword		261	atypical_drug_responses	istnieje w SQL
niewykorzystany potencjał	unrealized potential	keyword		262	unrealized_potential	istnieje w SQL
niezawodność	reliability	keyword		263	reliability	istnieje w SQL
niski koszt tłumaczenia	low explanatory cost	keyword		264	low_explanatory_cost	istnieje w SQL
noradrenalina	norepinephrine	keyword		265	norepinephrine	istnieje w SQL
nostalgia regulacyjna	regulatory nostalgia	keyword		266	regulatory_nostalgia	istnieje w SQL
nowe dane	new data	keyword		267	new_data	istnieje w SQL
obiektywność	objectivity	keyword		268	objectivity	istnieje w SQL
objawy somatyczne	somatic symptoms	keyword		269	somatic_symptoms	istnieje w SQL
objawy wtórne	secondary symptoms	keyword		270	secondary_symptoms	istnieje w SQL
obserwacja społeczna	social observation	keyword		271	social_observation	istnieje w SQL
odkrywanie siebie	self-discovery	keyword		272	self_discovery	istnieje w SQL
odpowiedzialność	responsibility	keyword		273	responsibility	istnieje w SQL
odrzucenie	rejection	keyword		274	rejection	istnieje w SQL
odśmiecanie pamięci	memory decluttering	keyword		275	memory_decluttering	istnieje w SQL
ogólna teoria względności	general relativity	keyword		276	general_relativity	istnieje w SQL
ograniczenia danych	data limitations	keyword		277	data_limitations	istnieje w SQL
ograniczenia sprzętowe	hardware constraints	keyword		278	hardware_constraints	istnieje w SQL
ograniczenia systemowe	system constraints	keyword		279	system_constraints	istnieje w SQL
ograniczona pamięć	limited memory	keyword		280	limited_memory	istnieje w SQL
operator wykonawczy	executive operator	keyword		281	executive_operator	istnieje w SQL
opór	resistance	keyword		282	resistance	istnieje w SQL
opóźnione objawy stresu	delayed stress symptoms	keyword		283	delayed_stress_symptoms	istnieje w SQL
oprogramowanie	software	keyword		284	software	istnieje w SQL
organizacja wiedzy	knowledge organization	keyword		285	knowledge_organization	istnieje w SQL
osiągnięcia	achievement	keyword		286	achievement	istnieje w SQL
otwarte pętle	open loops	keyword		287	open_loops	istnieje w SQL
pamięć	memory	keyword		288	memory	istnieje w SQL
pamięć AI	AI memory	keyword		289	ai_memory	istnieje w SQL
pamięć asocjacyjna	associative memory	keyword		290	associative_memory	istnieje w SQL
pamięć autobiograficzna	autobiographical memory	keyword		291	autobiographical_memory	istnieje w SQL
pamięć deklaratywna	declarative memory	keyword		292	declarative_memory	istnieje w SQL
pamięć długotrwała	long-term memory	keyword		293	long_term_memory	istnieje w SQL
pamięć encyklopedyczna	encyclopedic memory	keyword		294	encyclopedic_memory	istnieje w SQL
pamięć epizodyczna	episodic memory	keyword		295	episodic_memory	istnieje w SQL
pamięć komputerowa	computer memory	keyword		296	computer_memory	istnieje w SQL
pamięć krótkotrwała	short-term memory	keyword		297	short_term_memory	istnieje w SQL
pamięć ludzka	human memory	keyword		298	human_memory	istnieje w SQL
pamięć neuroróżnorodna	neurodivergent memory	keyword		299	neurodivergent_memory	istnieje w SQL
pamięć proceduralna	procedural memory	keyword		300	procedural_memory	istnieje w SQL
pamięć projektu	project memory	keyword		301	project_memory	istnieje w SQL
pamięć prospektywna	prospective memory	keyword		302	prospective_memory	istnieje w SQL
pamięć robocza	working memory	keyword		303	working_memory	istnieje w SQL
pamięć schematyczna	schematic memory	keyword		304	schematic_memory	istnieje w SQL
pamięć strukturalna	structural memory	keyword		305	structural_memory	istnieje w SQL
pamięć wskaźnikowa	pointer-based memory	keyword		306	pointer_based_memory	istnieje w SQL
pamięć zewnętrzna	external memory	keyword		307	external_memory	istnieje w SQL
pamiętanie o drugiej osobie	remembering others	keyword		308	remembering_others	istnieje w SQL
paradoks porządku i chaosu	order–chaos paradox	keyword		309	order_chaos_paradox	istnieje w SQL
parafraza	paraphrase	keyword		310	paraphrase	istnieje w SQL
paraliż	paralysis	keyword		311	paralysis	istnieje w SQL
para ND	neurodivergent couple	keyword		312	neurodivergent_couple	istnieje w SQL
para ND-NT	neurodivergent–neurotypical couple	keyword		313	neurodivergent_neurotypical_couple	istnieje w SQL
partycypacja	participation	keyword		314	participation	istnieje w SQL
patologizacja	pathologization	keyword		315	pathologization	istnieje w SQL
percepcja	perception	keyword		316	perception	istnieje w SQL
perfekcjonizm	perfectionism	keyword		317	perfectionism	istnieje w SQL
pęd	momentum	keyword		318	momentum	istnieje w SQL
pionierzy IT	information technology pioneers	keyword		319	information_technology_pioneers	istnieje w SQL
planowanie	planning	keyword		320	planning	istnieje w SQL
pliki	files	keyword		321	files	istnieje w SQL
pobudzenie poznawcze	cognitive arousal	keyword		322	cognitive_arousal	istnieje w SQL
pochodzenie informacji	information provenance	keyword		323	information_provenance	istnieje w SQL
poczucie inności	sense of otherness	keyword		324	sense_of_otherness	istnieje w SQL
poczucie udawania dorosłego	adult-role impostor feelings	keyword		325	adult_role_impostor_feelings	istnieje w SQL
poczucie winy	guilt	keyword		326	guilt	istnieje w SQL
poczucie za dużo i za mało	perceived excess and inadequacy	keyword		327	perceived_excess_and_inadequacy	istnieje w SQL
podwójna empatia	double empathy problem	keyword		328	double_empathy_problem	istnieje w SQL
podwójne przetwarzanie	dual processing	keyword		329	dual_processing	istnieje w SQL
pole elektromagnetyczne	electromagnetic field	keyword		330	electromagnetic_field	istnieje w SQL
Polska	Poland	keyword		331	poland	istnieje w SQL
położenie	position	keyword		332	position	istnieje w SQL
pomaganie	helping behavior	keyword		333	helping_behavior	istnieje w SQL
populacja	population	keyword		334	population	istnieje w SQL
popularność technologii	technology popularity	keyword		335	technology_popularity	istnieje w SQL
porównanie modeli	model comparison	keyword		336	model_comparison	istnieje w SQL
poszukiwanie i unikanie bodźców	sensory seeking and avoidance	keyword		337	sensory_seeking_and_avoidance	istnieje w SQL
poszukiwanie sensoryczne	sensory seeking	keyword		338	sensory_seeking	istnieje w SQL
potrzeba nowości	novelty seeking	keyword		339	novelty_seeking	istnieje w SQL
potrzeba pomagania	need to help	keyword		340	need_to_help	istnieje w SQL
potrzeba rozumienia dlaczego	need for explanatory understanding	keyword		341	need_for_explanatory_understanding	istnieje w SQL
potrzeba samotności	need for solitude	keyword		342	need_for_solitude	istnieje w SQL
potrzeba struktury	need for structure	keyword		343	need_for_structure	istnieje w SQL
potrzeby po diagnozie	post-diagnostic needs	keyword		344	post_diagnostic_needs	istnieje w SQL
potwierdzenie zasad relacji	explicit relationship-rule confirmation	keyword		345	explicit_relationship_rule_confirmation	istnieje w SQL
powtarzalność	repetitiveness	keyword		346	repetitiveness	istnieje w SQL
poznanie społeczne	social cognition	keyword		347	social_cognition	istnieje w SQL
późna diagnoza	late diagnosis	keyword		348	late_diagnosis	istnieje w SQL
pragmatyka	pragmatics	keyword		349	pragmatics	istnieje w SQL
prawdopodobieństwo warunkowe	conditional probability	keyword		350	conditional_probability	istnieje w SQL
predyspozycje	predispositions	keyword		351	predispositions	istnieje w SQL
presja społeczna	social pressure	keyword		352	social_pressure	istnieje w SQL
prezent	gift	keyword		353	gift	istnieje w SQL
procedura	procedure	keyword		354	procedure	istnieje w SQL
programowanie	programming	keyword		355	programming	istnieje w SQL
programowanie niskopoziomowe	low-level programming	keyword		356	low_level_programming	istnieje w SQL
projektowanie języków	programming language design	keyword		357	programming_language_design	istnieje w SQL
projektowanie promptów	prompt engineering	keyword		358	prompt_engineering	istnieje w SQL
projektowanie systemów	systems design	keyword		359	systems_design	istnieje w SQL
projekty	projects	keyword		360	projects	istnieje w SQL
prokrastynacja	procrastination	keyword		361	procrastination	istnieje w SQL
prokrastynacja perfekcjonistyczna	perfectionism-related procrastination	keyword		362	perfectionism_related_procrastination	istnieje w SQL
propriocepcja	proprioception	keyword		363	proprioception	istnieje w SQL
propriocepcja i koordynacja	proprioception and coordination	keyword		364	proprioception_and_coordination	istnieje w SQL
prowadzący neuroróżnorodny	neurodivergent facilitator	keyword		365	neurodivergent_facilitator	istnieje w SQL
przeciążenie	overload	keyword		366	overload	istnieje w SQL
przeciążenie informacyjne	information overload	keyword		367	information_overload	istnieje w SQL
przeciążenie poznawcze	cognitive overload	keyword		368	cognitive_overload	istnieje w SQL
przeciążenie sensoryczne	sensory overload	keyword		369	sensory_overload	istnieje w SQL
przeciążenie społeczne	social overload	keyword		370	social_overload	istnieje w SQL
przeciążenie wykonawcze	executive overload	keyword		371	executive_overload	istnieje w SQL
przeglądarki	web browsers	keyword		372	web_browsers	istnieje w SQL
przejrzystość	transparency	keyword		373	transparency	istnieje w SQL
przełączanie zadań	task switching	keyword		374	task_switching	istnieje w SQL
przepływ	flow	keyword		375	flow	istnieje w SQL
przetwarzanie informacji	information processing	keyword		376	information_processing	istnieje w SQL
przetwarzanie lokalne	local processing	keyword		377	local_processing	istnieje w SQL
przetwarzanie sensoryczne	sensory processing	keyword		378	sensory_processing	istnieje w SQL
przetwarzanie w tle	background processing	keyword		379	background_processing	istnieje w SQL
przewidywalność	predictability	keyword		380	predictability	istnieje w SQL
przynależność	belonging	keyword		381	belonging	istnieje w SQL
przywoływanie pamięci	memory retrieval	keyword		382	memory_retrieval	istnieje w SQL
psychodynamika	psychodynamics	keyword		383	psychodynamics	istnieje w SQL
psychoedukacja	psychoeducation	keyword		384	psychoeducation	istnieje w SQL
psychoterapia	psychotherapy	keyword		385	psychotherapy	istnieje w SQL
punktualność	punctuality	keyword		386	punctuality	istnieje w SQL
pustka	emptiness	keyword		387	emptiness	istnieje w SQL
Python	Python	keyword		388	python	istnieje w SQL
RAM	RAM	keyword		389	ram	istnieje w SQL
