section_id	document_id	collection	document_code	section_order	title_pl	title_en	description_pl	description_en
17	1	rosja	A1	17	Rozdział 16. Hanza 2.0 — porządek bez architekta	Chapter 16. Hanseatic League 2.0 — Order Without an Architect	Hanza 2.0 jako porządek regionalny utrzymywany interesami i kapitałem, bez jednego architekta.	Hanseatic League 2.0 as a regional order sustained by interests and capital rather than by a single architect.
18	1	rosja	A1	18	Rozdział 17. Od Ormuzu do panelu — struktura, szok i substytucja	Chapter 17. From Hormuz to the Solar Panel — Structure, Shock and Substitution	Szok Ormuz jako impuls do substytucji ropy i gazu oraz przyspieszenia elektryfikacji i OZE.	The Hormuz shock as an impulse to substitute away from oil and gas and accelerate electrification and renewables.
19	1	rosja	A1	19	Rozdział 18. Monopole i topologia władzy	Chapter 18. Monopolies and the Topology of Power	Porównanie monopolu saudyjskiego i chińskiego oraz przejście od scentralizowanej energii do bardziej płaskiej topologii władzy.	A comparison of Saudi and Chinese monopoly structures and the transition from centralised energy to a flatter topology of power.
20	1	rosja	A1	20	Rozdział 19. Disinfolklore i Dark Legitimacy — trucizna i ciemna strona	Chapter 19. Disinfolklore and Dark Legitimacy — Poison and the Dark Side	Disinfolklore i dark legitimacy jako narzędzia opisu dezinformacji i paradoksalnego wzmacniania dyktatury przez ujawnianie patologii.	Disinfolklore and dark legitimacy as tools for describing disinformation and the paradoxical strengthening of dictatorship through exposing pathology.
21	1	rosja	A1	21	Rozdział 20. Źródła, etyka i granice poznania	Chapter 20. Sources, Ethics and the Limits of Knowledge	Źródła, bias, etyka analizy wojny i jawne granice tego, co można uczciwie wnioskować.	Sources, bias, the ethics of analysing war, and explicit limits on what can be inferred honestly.
22	1	rosja	A1	22	Rozdział 21. Steelmanning systemu — Chiny, inercja, zmęczenie Zachodu	Chapter 21. Steelmanning the System — China, Inertia, Western Fatigue	Najmocniejsze argumenty za trwałością systemu: Chiny, inercja, zdolność adaptacji i zmęczenie Zachodu.	The strongest arguments for system durability: China, inertia, adaptive capacity and Western fatigue.
23	1	rosja	A1	23	Rozdział 22. Disinfolklore pod lupą — SWOT i przesłuchanie sądowe	Chapter 22. Disinfolklore Under the Microscope — SWOT and Cross-Examination	SWOT Disinfolklore i adversarialne przesłuchanie metody pod kątem błędów, nadużyć i falsyfikowalności.	A SWOT analysis of Disinfolklore and an adversarial cross-examination of the method for errors, abuse and falsifiability.
24	1	rosja	A1	24	Rozdział 23. Zrewidowana konkluzja — mapa, nie GPS	Chapter 23. Revised Conclusion — A Map, Not GPS	Zrewidowana konkluzja po steelmanningu: analiza jako mapa scenariuszy i prawdopodobieństw, nie precyzyjny GPS.	A revised conclusion after steelmanning: the analysis as a map of scenarios and probabilities, not a precision GPS.
25	2	rosja	A2	1	maj 2026. gradually stalo sie suddenly	May 2026. Gradually Became Suddenly	Aktualizowana analiza przejścia rosyjskiego systemu od narastającej degradacji do zmian jakościowych. Łączy uderzenia, logistykę, energię, politykę i kalibrację prognoz.	An updated analysis of the Russian system's transition from mounting degradation to qualitative change. It connects strikes, logistics, energy, politics and forecast calibration.
26	2	rosja	A2	2	I. Wstęp — co się zmieniło od daty Kolumbryny	I. Introduction — What Has Changed Since Kolumbryna	Od monografii rafinerii do sekwencyjnej analizy systemowego rozkładu Rosji.	From a refinery monograph to a sequential analysis of Russia's systemic decay.
27	2	rosja	A2	3	Zmiana ilościowa — więcej tego samego, ale wykładniczo	Quantitative Change — More of the Same, but Exponentially	Wykładniczy wzrost liczby, częstotliwości i zasięgu ukraińskich uderzeń.	An exponential increase in the number, frequency and reach of Ukrainian strikes.
28	2	rosja	A2	4	Zmiana jakościowa — każdy aspekt wymagał osobnego rozdziału	Qualitative Change — Every Aspect Required Its Own Chapter	Rozszerzenie kampanii z rafinerii na logistykę, Krym, sygnalizację i rynek paliw.	The campaign expands from refineries to logistics, Crimea, signalling and the fuel market.
29	2	rosja	A2	5	Dokument o tym, jak dokument przestał być tym, czym miał być	A Document About How the Document Stopped Being What It Was Supposed to Be	Zmiana z kroniki uderzeń w analizę systemowego rozkładu.	A shift from a chronicle of strikes to an analysis of systemic decay.
30	2	rosja	A2	6	II. Lista uderzeń — okresy dwutygodniowe, od maja tygodniowe	II. Strike List — Fortnightly Periods, Weekly from May Onward	Kotwica po wydzieleniu pełnej kroniki uderzeń do osobnego pliku.	An anchor section after moving the full strike chronology into a separate file.
31	2	rosja	A2	7	III. Nota metodologiczna — wnioskowanie przy braku danych	III. Methodological Note — Inference Under Missing Data	Wariantowe wnioskowanie przy nieznanych danych, bez zgadywania brakujących zmiennych.	Scenario-based inference under unknown data, without guessing the missing variables.
32	2	rosja	A2	8	IV. Galeria celów — analiza najciekawszych uderzeń	IV. Target Gallery — Analysis of the Most Interesting Strikes	Wybrane uderzenia jako przykłady mechanizmów i logiki całej kampanii.	Selected strikes as examples of the mechanisms and logic of the campaign as a whole.
33	2	rosja	A2	9	Cele niekinetyczne — sygnał, doktryna, dekapitacja	Non-Kinetic Targets — Signalling, Doctrine, Decapitation	Presja na percepcję, dowodzenie i morale zamiast wyłącznie celów fizycznych.	Pressure on perception, command and morale rather than on physical targets alone.
34	2	rosja	A2	10	V. Krym jako efekt uboczny — geometria likwidacji	V. Crimea as a Side Effect — The Geometry of Elimination	Izolacja Krymu jako produkt uboczny kampanii przeciw logistyce i energii.	Crimea's isolation as a by-product of the campaign against logistics and energy.
35	2	rosja	A2	11	Trzy wektory zaopatrzenia	Three Supply Vectors	Lądowy, morski i mostowy kanał zaopatrzenia Krymu oraz ich degradacja.	The land, maritime and bridge-based supply channels to Crimea and their degradation.
36	2	rosja	A2	12	Usunięcie cywilów z R-280 — koncesja, nie zarządzanie	Removing Civilians from the R-280 — Concession, Not Management	Usunięcie cywilów z R-280 jako wymuszony kompromis logistyczny Rosji.	Removing civilians from the R-280 as a forced Russian logistical compromise.
37	2	rosja	A2	13	Dekret jest mimowolnym przyznaniem, że dron pokonał tarczę	The Decree Is an Involuntary Admission That the Drone Beat the Shield	Usunięcie cywilów z R-280 jako wymuszona rezygnacja z tarczy.	Removing civilians from the R-280 as a forced abandonment of the shield.
38	2	rosja	A2	14	Most jako przynęta — dlaczego kolejność jest wymuszona	The Bridge as Bait — Why the Sequence Is Constrained	Nietknięty Most Kerczeński wiąże rosyjską OPL i odsłania inne cele.	Leaving the Kerch Bridge untouched ties down Russian air defence and exposes other targets.
39	2	rosja	A2	15	Most kerczeński na poziomie meta — wcześniej, na deser, czy ciągłe ciśnienie (i dlaczego to już poker, nie szachy)	The Kerch Bridge at the Meta Level — Earlier, for Dessert, or Continuous Pressure (and Why This Is Poker Now, Not Chess)	Trzy strategie wobec mostu: wcześniej, na finał albo permanentne ciśnienie.	Three strategies for the bridge: strike earlier, save it for the finale, or maintain permanent pressure.
40	2	rosja	A2	16	Dlaczego port krymski nie wymaga ani jednego drona	Why a Crimean Port Does Not Require a Single Drone	Odcięcie portów Krymu przez uderzanie w rosyjski koniec szlaku morskiego.	Cutting off Crimean ports by striking the Russian end of the maritime route.
41	2	rosja	A2	17	Drugi koniec łańcucha na obu morzach — rejestr portów rosyjskich i okupowanych (bez Krymu)	The Other End of the Chain on Both Seas — Register of Russian and Occupied Ports (Excluding Crimea)	Porty rosyjskie i okupowane jako węzły morskiego łańcucha zaopatrzenia.	Russian and occupied ports as nodes in the maritime supply chain.
42	2	rosja	A2	18	Morze Czarne — rosyjskie wybrzeże Krasnodarskiego	Black Sea — Russia's Krasnodar Coast	Czarnomorskie porty Krasnodaru obsługujące eksport i logistykę wojenną.	Black Sea ports in Krasnodar serving exports and wartime logistics.
43	2	rosja	A2	19	Morze Azowskie — rosyjskie wybrzeże	Sea of Azov — Russian Coast	Rosyjskie porty azowskie jako drugi koniec łańcucha logistycznego.	Russian Azov ports as the other end of the logistics chain.
44	2	rosja	A2	20	Morze Azowskie — porty okupowane (Mariupol, Berdiańsk)	Sea of Azov — Occupied Ports (Mariupol, Berdiansk)	Mariupol i Berdiańsk jako okupowane węzły przeładunkowe na Morzu Azowskim.	Mariupol and Berdiansk as occupied transshipment nodes on the Sea of Azov.
45	2	rosja	A2	21	Krym przekształca się z półwyspu w wyspę	Crimea Is Turning from a Peninsula into an Island	Stopniowa utrata połączeń zamienia Krym w wyspę logistyczną.	The gradual loss of connections is turning Crimea into a logistical island.
46	2	rosja	A2	22	Powolne odcinanie Krymu od prądu — czwarty wektor, ukryty w gąszczu	Slowly Cutting Crimea Off from Electricity — the Fourth Vector, Hidden in the Thicket	Energetyka jako czwarty, równoległy wektor izolowania Krymu.	Energy as a fourth, parallel vector of Crimea's isolation.
47	2	rosja	A2	23	Materialny wynik — kupony na paliwo na Krymie	The Material Result — Fuel Coupons in Crimea	Reglamentacja paliwa jako materialny objaw narastającej izolacji półwyspu.	Fuel rationing as a tangible symptom of the peninsula's mounting isolation.
48	2	rosja	A2	24	Krym nie jest osobnym teatrem — jest efektem zewnętrznym	Crimea Is Not a Separate Theatre — It Is an Externality	Izolacja Krymu jako skutek uboczny szerszej kampanii logistyczno-naftowej.	Crimea's isolation as a side effect of the broader logistics-and-oil campaign.
49	2	rosja	A2	25	Wątki kontynuowane w innych sekcjach	Threads Continued in Other Sections	Odsyłacze do dalszych analiz Krymu: sygnalizacja, paliwa i energetyka.	Pointers to further analyses of Crimea: signalling, fuel and energy.
50	2	rosja	A2	26	VI. Ewolucja typologii celów — co się dywersyfikuje	VI. Evolution of Target Typology — What Is Diversifying	Jak kampania rozszerza się na nowe klasy celów i nowe teatry.	How the campaign is expanding into new target classes and new theatres.
51	2	rosja	A2	27	Matryca 1: kategorie funkcjonalne celów	Matrix 1: Functional Target Categories	Zmiany aktywnych kategorii celów od stycznia do czerwca 2026.	Changes in active target categories from January to June 2026.
52	2	rosja	A2	28	Matryca 2: wektory geograficzne	Matrix 2: Geographic Vectors	Przesuwanie kampanii między Bałtykiem, południem, centrum, Uralem i okupacją.	The campaign shifting among the Baltic, the south, the centre, the Urals and occupied territories.
53	2	rosja	A2	29	Synteza ewolucyjna — co się zmieniło między okresami	Evolutionary Synthesis — What Changed Between Periods	Pięć jakościowych progów dojrzewania kampanii od stycznia do czerwca.	Five qualitative thresholds in the campaign's maturation from January to June.
54	2	rosja	A2	30	Syntetyczne obserwacje (od 04.01.2026)	Synthetic Observations (Since 4 January 2026)	Najważniejsze wzorce: zasięg, dywersyfikacja, kompresja napraw i przeciążenie OPL.	The main patterns: reach, diversification, repair compression and air-defence overload.
55	2	rosja	A2	31	Front Olexandrivka — terytorium jako nowa kategoria celu	Olexandrivka Front — Territory as a New Target Category	Odzyskiwane terytorium jako nowa kategoria skutku kampanii systemowej.	Recovered territory as a new category of outcome produced by the systemic campaign.
56	2	rosja	A2	32	Dlaczego front Olexandrivka wpisuje się w to opracowanie	Why the Olexandrivka Front Belongs in This Analysis	Olexandrivka jako materialny skutek degradacji rosyjskiej logistyki i OPL.	Olexandrivka as a material consequence of degrading Russian logistics and air defence.
57	2	rosja	A2	33	VII. Budanov — gramatyka rozkładu i przebudowy	VII. Budanov — The Grammar of Decay and Reconstruction	Budanow jako rama do czytania rozkładu Rosji, informacji i ukraińskiej przebudowy.	Budanov as a framework for reading Russia's decay, information dynamics and Ukraine's reconstruction.
58	2	rosja	A2	34	"Od „zwycięstwa"" do „jedności"" — czytanie przez przemilczenia"	From “Victory” to “Unity” — Reading Through Omissions	Zmiana słownika Budanowa: mniej „zwycięstwa”, więcej jedności i ryzyk wewnętrznych.	A shift in Budanov's vocabulary: less “victory”, more unity and internal risks.
59	2	rosja	A2	35	"Negative space jako metoda — i jako lustro do „czterech trybów"""	Negative Space as a Method — and as a Mirror for the “Four Modes”	Czytanie nieobecności jako danych: brak słów, działań i dostaw.	Reading absence as data: missing words, actions and deliveries.
60	2	rosja	A2	36	Punkt zwrotny nazwany cztery lata za wcześnie — kalibracja przez własny track record	A Turning Point Named Four Years Too Early — Calibration Against One's Own Track Record	Prognoza z 2022 kierunkowo trafna, lecz przedwczesna o około cztery lata.	A 2022 forecast that was directionally right but roughly four years premature.
61	2	rosja	A2	37	Jednoczesność sprzeczności — logika nieliniowa	The Simultaneity of Contradictions — Nonlinear Logic	Sprzeczne stany traktowane jako równocześnie prawdziwe, bez binarnego wyboru.	Contradictory states treated as simultaneously true, without forcing a binary choice.
62	2	rosja	A2	38	Stoicyzm jako maska operacyjna	Stoicism as an Operational Mask	„Stoicyzm” jako użyteczna maska dla nieliniowego sposobu działania Budanowa.	“Stoicism” as a useful mask for Budanov's nonlinear mode of operation.
63	2	rosja	A2	39	Znać reguły a rozumieć reguły	Knowing the Rules vs Understanding the Rules	Rozumienie reguł pozwala tworzyć nowe kategorie zamiast tylko je łamać.	Understanding rules makes it possible to create new categories rather than merely break existing ones.
64	2	rosja	A2	40	Jedność jako system operacyjny, nie posłuszeństwo	Unity as an Operating System, Not Obedience	Jedność sytuacyjna jako zdolność wspólnej decyzji, nie permanentne posłuszeństwo.	Situational unity as the capacity for joint decision-making, not permanent obedience.
65	2	rosja	A2	41	Antifragile kontra dark legitimacy — odwrócenie modelu rosyjskiego	Antifragile vs Dark Legitimacy — Reversing the Russian Model	Ukraińska jedność jako antykruchość przeciw rosyjskiej dark legitimacy.	Ukrainian unity as antifragility against Russian dark legitimacy.
66	2	rosja	A2	42	"„Po Tupolewa nie idzie się do sklepu z Tupolewami"" — zasada zerwanego łańcucha zastępowalności"	“After a Tupolev, You Don't Go to the Tupolev Shop” — the Broken-Replacement-Chain Principle	Nieodtwarzalne platformy sowieckie: każda strata trwale zmniejsza dostępny zasób.	Irreplaceable Soviet platforms: every loss permanently reduces the available stock.
67	2	rosja	A2	43	Uwaga na marginesie — historia A-50 jako precedens	A Note in the Margin — the A-50 Story as Precedent	Dwa utracone A-50 jako precedens nieodtwarzalnej degradacji zdolności AWACS.	Two lost A-50s as a precedent for irreversible degradation of AWACS capability.
68	2	rosja	A2	44	Mapa Dniepr 9.04.2026 — trzy warstwy fałszowania w jednym artefakcie	Dnipro Map, 9 April 2026 — Three Layers of Falsification in a Single Artefact	Mapa Dniepr pokazuje trzy warstwy fałszowania obrazu frontu wewnątrz systemu.	The Dnipro map shows three layers of falsifying the picture of the front inside the system.
69	2	rosja	A2	45	Saldo i blokada Leningradu — autodemaskacja przez język	Saldo and the Siege of Leningrad — Self-Exposure Through Language	Propagandowa metafora Saldo mimowolnie potwierdza izolację rosyjskiej logistyki.	Saldo's propaganda metaphor inadvertently confirms the isolation of Russian logistics.
70	2	rosja	A2	46	Voenkory pękają — rozszczepienie warstwy milblogerskiej, marzec–maj 2026	The Voenkory Crack — Splitting of the Milblogger Layer, March–May 2026	Rozszczepienie rosyjskich milblogerów jako sygnał pękania dyscypliny narracyjnej.	The fragmentation of Russian milbloggers as a signal that narrative discipline is breaking down.
71	2	rosja	A2	47	"Sokolenko — „prosił, by nikogo nie obwiniać"" jako gramatyka przemilczenia"	Sokolenko — “Asked That No One Be Blamed” as a Grammar of Omission	Komunikat o śmierci Sokolenki analizowany przez gramatykę przemilczeń i formułkę winy.	The announcement of Sokolenko's death analysed through the grammar of omission and the formula of blame.
72	2	rosja	A2	48	"Sokolenko nie jest wyjątkiem — radziecko-rosyjska tradycja „samobójstwa"" elit"	Sokolenko Is Not an Exception — the Soviet-Russian Tradition of Elite “Suicides”	Sokolenko wpisany w szerszy wzorzec niewyjaśnionych śmierci rosyjskich elit.	Sokolenko placed within the broader pattern of unexplained deaths among Russian elites.
73	2	rosja	A2	49	838 stron — precyzja jako broń	838 Pages — Precision as a Weapon	Precyzyjna liczba zabitych oficerów jako narzędzie wiarygodności i presji.	A precise count of killed officers as a tool of credibility and pressure.
74	2	rosja	A2	50	Hipoteza neurodywergencji u szefów wywiadu	The Neurodivergence Hypothesis for Intelligence Chiefs	Hipoteza neurodywergencji jako źródła wzorców poznawczych użytecznych w wywiadzie.	Neurodivergence as a possible source of cognitive patterns useful in intelligence work.
75	2	rosja	A2	51	VIII. Sygnalizacja strategiczna i asymetria opcjonalności	VIII. Strategic Signalling and Asymmetry of Optionality	Uderzenia jako komunikacja strategiczna oraz asymetria dostępnych opcji obu stron.	Strikes as strategic communication and as an asymmetry in the options available to both sides.
76	2	rosja	A2	52	Założenia metodologiczne	Methodological Assumptions	Profesjonalna komunikacja wieloadresatowa: nadawca projektuje możliwe interpretacje odbiorców.	Professional multi-audience communication: the sender designs for the recipients' possible interpretations.
77	2	rosja	A2	53	Studium przypadku: przemówienie Zełeńskiego 17.05.2026	Case Study: Zelenskyy's Speech, 17 May 2026	Wypowiedź Zełenskiego z 17 maja jako sygnał dojrzałej zdolności dalekiego zasięgu.	Zelenskyy's 17 May statement as a signal of mature long-range capability.
78	2	rosja	A2	54	Komunikat wielo-adresatowy — ścieżki interpretacji	A Multi-Audience Message — Interpretation Paths	Ta sama wypowiedź czytana inaczej przez Ukrainę, Rosję, Pekin i korporacje.	The same statement read differently by Ukraine, Russia, Beijing and corporations.
79	2	rosja	A2	55	Sekwencja zobowiązanie → pokaz → efekt skumulowany	Sequence: Commitment → Demonstration → Cumulative Effect	Najpierw zobowiązania polityczne, potem demonstracja zdolności dla maksymalnej wartości sygnału.	Political commitments first, then a capability demonstration to maximise signalling value.
80	2	rosja	A2	56	Logika wstrzymaj i pokaż:	The Hold-and-Show Logic:	Umowy przed demonstracją zwiększają nadwartość i legitymizują wybór partnerów.	Agreements made before the demonstration increase surplus value and legitimise the choice of partners.
81	2	rosja	A2	57	Sygnały wspierające tezę o świadomym wstrzymaniu:	Signals Supporting the Deliberate-Holdback Thesis:	Ślady kontroli rytmu: dobór amunicji, selektywna pauza i ukrywanie maksimum.	Traces of tempo control: ammunition selection, a selective pause and concealment of maximum capability.
82	2	rosja	A2	58	"Alternatywa: ""lipiec przyspieszony przez wojnę w Iranie"""	Alternative: “July Brought Forward by the War in Iran”	Maj politycznie przyspiesza operacyjny plan letni po szoku wojny w Iranie.	May politically accelerates the operational summer plan after the shock of the war in Iran.
83	2	rosja	A2	59	Kampania ujawnienia (17–23.05.2026)	The Reveal Campaign (17–23 May 2026)	Tygodniowa kampania ujawnienia zdolności, wywiadu, broni, doktryny i oczekiwań.	A week-long campaign revealing capability, intelligence, weapons, doctrine and expectations.
84	2	rosja	A2	60	Kluczowe obserwacje strukturalne:	Key Structural Observations:	Wiele kanałów i nadawców jako ślad skoordynowanej kampanii komunikacyjnej.	Multiple channels and senders as evidence of a coordinated communications campaign.
85	2	rosja	A2	61	Druga kampania ujawnienia (25–27.05.2026) — oś białoruska	Second Reveal Campaign (25–27 May 2026) — the Belarus Axis	Białoruś jako oś zsynchronizowanej kampanii dyplomatycznej, odstraszającej i sankcyjnej.	Belarus as an axis of a synchronised diplomatic, deterrent and sanctions campaign.
86	2	rosja	A2	62	Krym jako wyspa logistyczna — transformacja jakościowa korytarza	Crimea as a Logistical Island — Qualitative Transformation of the Corridor	Korytarz lądowy do Krymu przechodzi od degradacji do faktycznej utraty funkcji.	The land corridor to Crimea shifts from degradation to the effective loss of function.
87	2	rosja	A2	63	Europejska oś instytucjonalna — warunki UE wobec Rosji	The European Institutional Axis — EU Conditions for Russia	UE formalizuje warunki wobec Rosji i wzmacnia ukraińską ramę nacisku.	The EU formalises conditions for Russia and reinforces Ukraine's framework of pressure.
88	2	rosja	A2	64	Test dyplomatyczny — kto został w Kijowie	The Diplomatic Test — Who Stayed in Kyiv	Obecność zagranicznych dyplomatów w Kijowie jako test gotowości do ponoszenia ryzyka.	The presence of foreign diplomats in Kyiv as a test of willingness to bear risk.
89	2	rosja	A2	65	Galați — rosyjski dron w bloku mieszkalnym państwa NATO	Galați — a Russian Drone in an Apartment Block in a NATO State	Rosyjski dron w Rumunii jako test granicy między incydentem a odpowiedzią NATO.	A Russian drone in Romania as a test of the boundary between incident and NATO response.
90	2	rosja	A2	66	Gabala — Aliyev jako kandydat na mediatora alternatywnego	Gabala — Aliyev as a Candidate for Alternative Mediation	Aliyev jako alternatywny mediator dzięki rosnącej autonomii Azerbejdżanu od Moskwy.	Aliyev as an alternative mediator thanks to Azerbaijan's growing autonomy from Moscow.
91	2	rosja	A2	67	Pięć przegranych wyborów — piąty front erozji wpływu	Five Lost Elections — the Fifth Front of Influence Erosion	Seria porażek politycznych jako osobny front erozji rosyjskich wpływów.	A series of political defeats as a separate front in the erosion of Russian influence.
92	2	rosja	A2	68	Asymetria katalogów prawomocnych celów (MTK vs PA-I) — i pochwycenie ramy rozejmowej 4–9 maja	Asymmetry of Legitimate Target Sets (MTK vs PA-I) — and Capture of the Ceasefire Frame, 4–9 May	Kontrast legalności celów i przejęcie przez Ukrainę ramy rozejmowo-sankcyjnej.	A contrast in target legality and Ukraine's capture of the ceasefire-and-sanctions frame.
93	2	rosja	A2	69	"Doktryna „long-range sanctions"" — nazwana 16.05, sformalizowana 30.05"	The “Long-Range Sanctions” Doctrine — Named on 16 May, Formalised on 30 May	„Long-range sanctions” jako nazwana polityczna rama ukraińskich uderzeń głębokich.	“Long-range sanctions” as a named political framework for Ukrainian deep strikes.
94	2	rosja	A2	70	Dwa ortogonalne procesy — Proces A (degradacja frontu) i Proces B (strangulacja)	Two Orthogonal Processes — Process A (Front Degradation) and Process B (Strangulation)	Dwa niezależne procesy: degradacja frontu dziś i strangulacja gospodarki jutro.	Two independent processes: degradation of the front today and strangulation of the economy tomorrow.
95	2	rosja	A2	71	Twierdzenie Nyquista — dlaczego tempo bije OODA (dwa ortogonalne procesy)	Nyquist's Theorem — Why Tempo Beats OODA (Two Orthogonal Processes)	Nakładanie dwóch rytmów uderzeń przeciąża rosyjski cykl obserwacji i reakcji.	Two overlapping strike rhythms overload Russia's observation-and-response cycle.
96	2	rosja	A2	72	Dwadzieścia miliardów — liczba jako teza (cena policzona, w zasięgu, podzielna)	Twenty Billion — the Number as a Thesis (Priced, Within Reach, Divisible)	Koszt kampanii liczony jako osiągalna, podzielna inwestycja strategiczna Ukrainy.	The campaign cost framed as an attainable, divisible strategic investment for Ukraine.
97	2	rosja	A2	73	P1-SUN — ta sama tania asymetria, odwrócona w obronę	P1-SUN — the Same Cheap Asymmetry, Reversed into Defence	Tania asymetria dronowa odwrócona z ataku na ochronę ukraińskich celów.	Low-cost drone asymmetry reversed from attack into protection of Ukrainian targets.
98	2	rosja	A2	74	Kubańska anomalia historyczna — czego Rosja nie może przyznać	The Kuban Historical Anomaly — What Russia Cannot Admit	Kubań jako problem dla rosyjskiej narracji historycznej i doktryny Russkij Mir.	Kuban as a problem for Russia's historical narrative and the doctrine of Russkiy Mir.
