dokument_kod	anchor	opis
A4	trzy-glosy-jeden-model	Zachód, Ukraina i Kasparow różnią się stopniem zobowiązania, niekoniecznie wiedzy.
A4	geneza-hurtu	Hurt wyrósł z reakcji na rosyjski atak, ale utrzymał się dzięki wysokiej skuteczności.
A4	drabina-zaczela-sie-wczesniej	Lipcowy hurt opiera się na zdolnościach budowanych wcześniej dla większej autonomii Ukrainy.
A4	dwa-motory	Kalkulacja strategiczna i odwet moralny popychają kampanię w tym samym kierunku.
A4	drabina-lipcowa	Dzień po dniu odpowiedź eskaluje od gestu do trwałej kampanii nowych celów.
A4	odpowiedz-podwojna	Jednoczesny efekt materialny i komunikacyjny po rosyjskim ataku.
A4	pewnosc-nastepnego-kroku	Odnawialny zasób broni zwiększa możliwość powtarzania udanych ruchów bez wielkiej stawki magazynowej.
A4	przypadkowa-trwalosc	Tymczasowa odpowiedź zostaje utrzymana, bo nowa klasa celów okazuje się wyjątkowo opłacalna.
A4	inwersja-historyczna	Rosja walczy dziś przeciw zapleczu ludzkiego i przemysłowego, które dawniej zasilało jej zwycięstwa.
A4	czym-rosja-wygrywala	Imperium korzystało przez stulecia z ukraińskich ludzi, przemysłu i kompetencji wojskowych.
A4	amputacja	Atak na Ukrainę odciął Rosję od części własnego historycznego zaplecza siłowego.
A4	co-z-tego-wynika	Utracone kompetencje imperium tłumaczą rosyjskie braki i ukraińską zdolność innowacji.
A4	prognoza-dogania	Wcześniej niszowy scenariusz przyspieszonego rozstrzygnięcia wchodzi do języka decydentów.
A4	co-napisano-w-marcu	Marcowy rozkład scenariuszy dawał przyspieszonemu końcowi wojny istotne, lecz mniejszościowe prawdopodobieństwo.
A4	co-dopisano-w-czerwcu	Niezależne zegary przesuwają ciężar prognozy ku jesieni 2026.
A4	co-mowia-teraz	Zełenski i Budanow publicznie wskazują zimę 2026 jako realną granicę okna.
A4	czego-nie-bylo-w-obiegu	Nowością jest samo wejście szybkiego zakończenia wojny do publicznego repertuaru scenariuszy.
A4	dyscyplina	Prognoza pozostaje mapą ryzyka, nie pewną datą ani GPS-em zdarzeń.
A4	zapasc	Równoległa degradacja rosyjskiego budżetu, rolnictwa, rezerw, transportu i przedsiębiorstw.
A4	budzet	Deficyt przekracza plany mimo odkładania reguł fiskalnych poza bieżący horyzont.
A4	paradoks-naftowy	Wpływy spadają mimo rekordowej ceny ropy, bo ograniczeniem staje się fizyczny eksport.
A4	zbiory	Braki paliwa, technologii i ludzi uderzają bezpośrednio w tempo i wynik żniw.
A4	degradacja-technologiczna	Tańsze nasiona, mniej nawozów i starzejący sprzęt wzmacniają podatność rolnictwa.
A4	pogoda-i-plynnosc	Pogoda i brak gotówki zamykają rolników w pętli paliwo–zbiór–dochód.
A4	wies-i-miasto	Wieś ma bufory przetrwania; politycznie groźniejsze są braki żywności w dużych miastach.
A4	zloto	Bank centralny sprzedaje złoto w rekordowym tempie, by łatać budżet.
A4	kolej	Spadek przewozów nakłada się na kadry, majątek i coraz gorszą jakość infrastruktury.
A4	paradoks-gruzoobrotu	Praca przewozowa może maskować kurczący się wolumen dzięki zmianie długości tras i struktury ładunków.
A4	wyprzedaz-i-kadry	Kolej wyprzedaje aktywa i traci techników potrzebnych do utrzymania systemu.
A4	falszowane-remonty	Papierowa sprawność i zakazy załadunku maskują realną degradację infrastruktury kolejowej.
A4	lotnictwo	Kanibalizacja części i ograniczony serwis przekładają się na rosnącą awaryjność lotnictwa cywilnego.
A4	sektor-korporacyjny	Duże firmy przechodzą od wzrostu do restrukturyzacji, strat i kontrolowanego kurczenia.
A4	czas-dokonany	Część procesów przekroczyła etap prognozy: pytanie dotyczy skutków, nie samego wystąpienia.
A4	mobilizacja	Rosja między kosztownym werbunkiem, cichym poborem i ryzykiem pełnej mobilizacji.
A4	werbunek-siada	Premie rosną, a dobrowolny napływ ludzi daje coraz mniejszy efekt marginalny.
A4	cicha-mobilizacja	Administracyjne i kontraktowe mechanizmy zwiększają zasób ludzi bez formalnego ogłoszenia mobilizacji.
A4	glos-przeciwny	Kontrargument: obecny werbunek może wystarczać do utrzymania frontu, choć nie do przełomu.
A4	pelna-po-wyborach	Wrzesień ogranicza politycznie decyzję, więc pełny pobór rozważany jest po wyborach.
A4	co-by-dala	Pełna mobilizacja kupuje piechotę kosztem rynku pracy, specjalistów, emigracji i spokoju.
A4	dalaby-piechote	Kilkaset tysięcy ludzi daje jednorazowy sezon większej masy frontowej.
A4	zabralaby-rynek-pracy	Pobór wyciąga ludzi z rynku, który już niemal nie ma rezerw.
A4	zabralaby-specjalistow	Mobilizacja odbiera gospodarce techników potrzebnych także samemu wojsku.
A4	zabralaby-ludzi-za-granice	Nowa fala poboru może wywołać trwałą emigrację młodych i mobilnych.
A4	zabralaby-spokoj	Pełna mobilizacja ujawnia skalę wojny i podnosi koszt społeczny reżimu.
A4	chinski-substytut	Chiny zastępują część zachodnich dostaw, lecz pogłębiają jednostronną zależność Rosji.
A4	skala-zastapienia	Chińskie komponenty masowo wypełniają rosyjskie luki w elektronice i technologiach podwójnego zastosowania.
A4	oficjalna-kapitulacja	Rosja formalnie obniża cel niezależności elektronicznej i tnie programy krajowe.
A4	irtysz	„Rosyjski” procesor okazuje się chińską architekturą i zagraniczną produkcją.
A4	szarej-strefy	Sankcjonowane komponenty płyną przez pośredników, firmy słupowe i trzecie państwa.
A4	gaz-oba-kierunki	Rynek europejski utracony, a chiński kierunek nie daje porównywalnej skali ani warunków.
A4	zamiana-nie-substytucja	Rosja nie odzyskała samodzielności, tylko zamieniła Zachód na silniejszego wierzyciela chińskiego.
A4	przemysl-domkniecia	Powtarzane uderzenia, komponentowe wąskie gardła i brak ludzi spinają presję na zbrojeniówkę.
A4	macierz-powtorzen	Te same zakłady trafiane szybciej, niż mogą kończyć kolejne cykle napraw.
A4	waskie-gardlo	Kluczowym ograniczeniem stają się trudne do zastąpienia części i technologie, nie hale.
A4	kab-trzy-ogniwa	Produkcja KAB zależy od kilku różnych, równocześnie podatnych ogniw dostaw.
A4	trojkat-o-ludzi	Wojsko, zbrojeniówka i gospodarka cywilna konkurują o tę samą kurczącą się pulę specjalistów.
A4	strumien-pod-obciazeniem	Test drugiej strony równania: ukraiński strumień jest realny, ale też ma ograniczenia.
A4	strumien-jest-realny	Produkcja dronów i pocisków rośnie jako odnawialny strumień, nie wyczerpywany magazyn.
A4	strumien-finansowany	Głównym wąskim gardłem ukraińskiej produkcji jest finansowanie zewnętrzne, nie moce przemysłowe.
A4	piechota	Technologia nie usuwa strukturalnego braku wyszkolonej piechoty do utrzymywania terenu.
A4	energetyka-korekta	Ukraińska sieć regeneruje się, lecz ciężkie transformatory mają długi cykl odtworzenia.
A4	asymetria-ograniczen	Rosyjskie ograniczenia są głównie fizyczne i jednokierunkowe; ukraińskie częściej politycznie odwracalne.
A4	adaptacja	Steelmanning: Rosja skutecznie obchodzi część sankcji i buduje nowe mechanizmy odporności.
A4	flota-cieni	Flota cieni stała się trwałą rosyjską instytucją eksportową mimo sankcji jednostkowych.
A4	budowa-pod-sankcjami	Rosja i partnerzy rozwijają nowe moce projektowe nawet wewnątrz reżimu sankcyjnego.
A4	sankcje-kinetyczne	Ukraina odpowiada na sankcyjne obejścia fizycznym niszczeniem infrastruktury i środków transportu.
A4	pozostale-adaptacje	Import równoległy, substytucja i reorganizacja produkcji łagodzą część zewnętrznej presji.
A4	cena-adaptacji	Każde obejście podnosi koszt, wydłuża łańcuch i zwiększa zależność od pośredników.
A4	dlaczego-to-wzmacnia-teze	Skuteczna adaptacja pokazuje, że system trwa, ale za cenę rosnącej złożoności i kosztu.
A4	bankowosc	Utajony kryzys bankowy jako najszybszy mechanizm przejścia z erozji do paniki.
A4	formalnie-juz-kryzys	Złe aktywa i niespłacalność przekraczają poziomy odpowiadające kryzysowi bankowemu.
A4	maskowanie	Restrukturyzacje odsuwają klasyfikację złych długów i przenoszą koszt na państwo.
A4	marketplace-przyspiesznik	Uderzenia magazynowe pogarszają jakość kredytów firm i zwiększają rezerwy banków.
A4	ucieczka-gotowki	Rosną jednocześnie gotówka poza bankami i niespłacalność gospodarstw oraz firm.
A4	dlaczego-najkrotszy	Bankowa percepcja może zmienić kryzys utajony w jawny w ciągu dni.
A4	zima	Jesień i zima skupiają w jednym oknie paliwa, finanse, mobilizację, budżet i ciepłownictwo.
A4	kalendarz-zbieznosci	Niezależne zegary wielu procesów schodzą się wokół jesieni 2026 i początku 2027.
A4	cieplownictwo	Zużyta infrastruktura grzewcza wchodzi w zimę przy mocno obciętym finansowaniu remontów.
A4	przyznanie-w-dokumencie	Rosyjskie dokumenty rządowe same wpisują ryzyko awarii i niedoborów infrastrukturalnych.
A4	dlaczego-splot-mnozy	Jednoczesne kryzysy wzajemnie zabierają sobie zasoby potrzebne do reagowania.
A4	co-musialoby-pojsc-dobrze	Scenariusz stabilizacji wymaga równoczesnego powodzenia na wielu niezależnych osiach.
A4	tryb-wojenny	Pełna mobilizacja gospodarki może rozwiązać problem alokacji, ale nie dostępności materialnej.
A4	co-tryb-rozwiazuje	Przymus kieruje ludzi, pieniądze i priorytety tam, gdzie chce państwo.
A4	drzwi-zamkniete	Kontrola społeczna i gospodarcza została zbudowana zanim formalnie nazwano pełny tryb wojenny.
A4	brak-lend-lease	Rosji brakuje zewnętrznego dostawcy skali porównywalnej z historycznym alianckim zapleczem.
A4	trzy-warstwy-czasowe	W jednej gospodarce współistnieją archaiczna produkcja, sowiecka baza i importowana nowoczesność.
A4	przymus-nowoczesny	Najnowocześniejsza jest kontrola obywatela, podczas gdy produkcja technicznie się cofa.
A4	inwentarz-opcji	Oddzielenie realnych narzędzi Rosji od działań brzmiących jak rozwiązanie, lecz pustych materialnie.
A4	opcje-puste	Bailout, konfiskata i sztuczki monetarne nie tworzą brakujących rzeczy fizycznych.
A4	opcje-realne	Realne są przesunięcia zasobów, obniżanie standardów i import rzeczy z zewnątrz.
A4	pieniadz-nie-jest-wiazaniem	Ograniczeniem staje się dostęp do komponentów, ludzi i infrastruktury, nie liczba rubli.
A4	co-jeszcze-splonie	Katalog kolejnych klas celów o wysokim potencjale odbierania rosyjskich zdolności wojennych.
A4	granica-materii	Materialne wskaźniki pokazują dojrzewanie warunków, ale nie wyznaczają chwili przełomu.
A4	zalozenie-jawne	Jawne założenie: w Wielkiej Wojnie sam bilans zasobów nie przewiduje momentu końca.
A4	warunki-i-moment	Materia tworzy możliwość przełomu; sens, lojalność i narracja mogą uruchomić moment.
A4	asymetria-symboliczna	Rosyjska narracja stabilizuje, ukraińska mobilizuje do tworzenia nowych zdolności.
A4	uwaga-o-moralnosci	Obie strony mają własne ramy moralne; analiza musi odróżniać ich funkcję od prawdziwości.
A4	cele-symboliczne	Niektóre cele wpływają głównie na poczucie nietykalności i kalkulację elit.
A4	czego-ten-dokument-nie-mierzy	Ślepe plamy: wola, lojalność aparatu, sens i rozstrzygające zdarzenia jednostkowe.
