dokument_kod	plik_zamrozony	plik_anchory	kolejnosc	poziom	sekcja_tytul	anchor
A5	a5_ZAMROZONE-audyt-2rewizje-v03_00-2026-06-23.html	a5_ZAMROZONE-audyt-2rewizje-v03_00-2026-06-23-anchory.html	4	H2	24 nosorożce — stan na 31.05	nosorozce-stan-31-05
D1	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25.html	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25-anchory.html	1	H1	Dark legitimacy: What Russia and Ukraine reveal about authoritarianism	dark-legitimacy-authoritarianism
D1	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25.html	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25-anchory.html	2	H2	Abstract	abstract
D1	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25.html	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25-anchory.html	3	H2	An affirmative concept of legitimacy	affirmative-concept-legitimacy
D1	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25.html	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25-anchory.html	4	H2	Governmentality: Affirmative legitimacy beyond democracy	governmentality-affirmative-legitimacy
D1	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25.html	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25-anchory.html	5	H2	Legitimacy crisis in the Soviet and post-Soviet context	legitimacy-crisis-soviet-post-soviet
D1	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25.html	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25-anchory.html	6	H2	Dark legitimacy: Bad is good	dark-legitimacy-bad-is-good
D1	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25.html	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25-anchory.html	7	H2	Russia-Ukraine: The war over legitimacy	russia-ukraine-war-over-legitimacy
D1	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25.html	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25-anchory.html	8	H2	Consequences of dark legitimacy	consequences-dark-legitimacy
D1	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25.html	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25-anchory.html	9	H2	Acknowledgments	acknowledgments
D1	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25.html	d1-zamrozone-narzedzie-dark-legitimacy-horbyk-v01_00-2026-03-25-anchory.html	10	H2	References	references
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	1	H1	DISINFOLKLORE	disinfolklore
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	2	H2	Spis treści	spis-tresci
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	3	H2	IGeneza: most, trolle i folklor	geneza-most-trolle-folklor
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	4	H2	IICzym jest Disinfolklore — definicja i zakres	definicja-i-zakres
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	5	H2	IIIDwanaście narzędzi metody analitycznej	dwanascie-narzedzi
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	6	H4	Archetypal Disinfolklore Literacy	archetypal-disinfolklore-literacy
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	7	H4	Incoming-Outgoing Troll Radars	troll-radars
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	8	H4	Look for the Mana in the Meme!	mana-in-the-meme
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	9	H4	Archetypal Structures	archetypal-structures
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	10	H4	Trigger → Experience → Reaction	trigger-experience-reaction
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	11	H4	Code of Positive Trolls	code-of-positive-trolls
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	12	H4	Accusation in a Mirror	accusation-in-a-mirror
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	13	H4	Provocation Logic Cycle	provocation-logic-cycle
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	14	H4	Witch Switch	witch-switch
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	15	H4	Coercive Control	coercive-control
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	16	H4	Re-Archetyping	re-archetyping
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	17	H4	Understanding Rashist Construction	rashist-construction
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	18	H2	IVTrzy archetypy: Druidy Don, Duncey Putin, Komik	trzy-archetypy
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	19	H4	Druidy Don (Trump)	druidy-don
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	20	H4	Duncey Putin	duncey-putin
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	21	H4	Komik (Zełenski)	komik-zelenski
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	22	H2	VMana — energia w memach	mana-energia-w-memach
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	23	H2	VIAccusation in a Mirror i Provocation Logic	accusation-in-a-mirror-i-provocation-logic
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	24	H3	Oskarżenie w lustrze (Accusation in a Mirror)	oskarzenie-w-lustrze
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	25	H3	Cykl logiki prowokacji (Provocation Logic Cycle)	cykl-logiki-prowokacji
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	26	H2	VIIWitch Switch — przełącznik czarownicy	witch-switch-przelacznik-czarownicy
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	27	H2	VIIIData Resistant Archetypes — mentalne modele oporne na fakty	data-resistant-archetypes
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	28	H2	IXFinding Manuland — indoeuropejskie fundamenty	finding-manuland
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	29	H3	Główne tezy Finding Manuland	finding-manuland-glowne-tezy
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	30	H2	XDisinfolklore a FIMI UE — komplementarność ram	disinfolklore-fimi
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	31	H3	Co FIMI robi dobrze	fimi-co-robi-dobrze
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	32	H3	Czego FIMI nie widzi — a Disinfolklore tak	fimi-czego-nie-widzi
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	33	H2	XICounter-Disinfolklore — narzędzia obrony	counter-disinfolklore
D2	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25.html	d2-zamrozone-narzedzie-disinfolklore-kompilacja-v01_00-2026-03-25-anchory.html	34	H2	XIIWnioski i kierunki dalszych badań	wnioski-i-kierunki
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	1	H1	Disinfolklore: SWOT,Advocatus Diaboli,Przesłuchanie	disinfolklore-swot-advocatus-przesluchanie
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	2	H2	Analiza SWOT	analiza-swot
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	3	H3	Strengths — Siły	strengths-sily
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	4	H3	Weaknesses — Słabości	weaknesses-slabosci
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	5	H3	Opportunities — Szanse	opportunities-szanse
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	6	H3	Threats — Zagrożenia	threats-zagrozenia
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	7	H3	Synteza strategiczna	synteza-strategiczna
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	8	H2	Advocatus Diaboli	advocatus-diaboli
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	9	H4	Jeśli archetypowanie jest bronią — to czy re-archetypowanie nie jest tą samą bronią z odwróconym ostrzem?	archetypowanie-jako-bron
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	10	H4	Obserwator w polu bitwy: czy można badać zaklęcia, nie będąc samemu zaczarowanym?	obserwator-w-polu-bitwy
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	11	H4	Mana: czy pojęcie niefalsyfikowalne zachowuje moc analityczną?	mana-falsyfikowalnosc
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	12	H4	"Czy twierdzenie „Ukraina to cywilizacja źródłowa Zachodu"" nie jest samo w sobie aktem Disinfolklore?"	ukraina-jako-disinfolklore
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	13	H4	Indoeuropocentryzm jako ślepy punkt: co z umysłami, które ukształtowały inne matryce?	indoeuropocentryzm
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	14	H4	Problem skali: 1,5 miliona słów vs. 15-sekundowy TikTok. Czy antywirusem na snajpera jest encyklopedia?	problem-skali
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	15	H4	Granica między narzędziem a systemem wierzeń: kiedy analityk staje się kapłanem?	narzedzie-czy-system-wierzen
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	16	H4	Czy demokratyczna broń może przetrwać kontakt z demokratycznym wyborcą?	demokratyczna-bron-i-wyborca
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	17	H4	Fabuła o trzech postaciach: czy redukcja geopolityki do bajki nie jest formą tego, co Pan krytykuje?	trzy-postacie-redukcja-geopolityki
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	18	H4	Ostateczna aporia: czy można zbudować post-narracyjne narzędzie wyłącznie z narracji?	postnarracyjne-narzedzie-z-narracji
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	19	H2	Przesłuchanie informacyjne biegłegow trybie art. 278 i nast. k.p.c.	przesluchanie-bieglego
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	20	H4	Panie biegły, proszę wskazać, w jakim recenzowanym piśmie naukowym opublikował Pan pełny opis metody Disinfolklore, wraz z recenzjami zewnętrznymi.	publikacja-i-recenzja-metody
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	21	H4	Czy dwóch niezależnych analityków, stosujących Pana dwunastoelementowy algorytm do tego samego memu, dojdzie do identycznej konkluzji co do jego klasyfikacji jako Disinfolklore?	powtarzalnosc-klasyfikacji
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	22	H4	"Panie biegły, Pan posługuje się pojęciem „mana"" jako kluczowym wskaźnikiem analitycznym. Proszę wskazać, jaki wynik empiryczny sfalsyfikowałby twierdzenie, że dany mem „zawiera silną manę""."	mana-kryterium-falsyfikacji
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	23	H4	Pana wykształcenie formalne i doświadczenie zawodowe to dyplomacja i mediacja w kontekście OBWE. Proszę wskazać Pana kwalifikacje w zakresie lingwistyki porównawczej, folklorystyki, psychologii poznawczej i archeogenetyki — dyscyplin, na których opiera Pan swoją metodę.	kwalifikacje-bieglego
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	24	H4	"Pan jest publicznie zaangażowanym obrońcą sprawy ukraińskiej. Prowadzi Pan fundację Volya, współpracuje z NAFO, określa Rosję terminem „Ruschia"". Jak Pan zapewnia sąd o swojej bezstronności jako biegłego w sprawie, w której jedną ze stron jest podmiot powiązany z Federacją Rosyjską?"	bezstronnosc-bieglego
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	25	H4	"Proszę podać precyzyjną, operacyjną definicję pojęcia „archetyp"" w Pana metodzie, odróżniającą je od definicji Junga, Campbella i Proppa — na tyle ścisłą, by dwóch prawników mogło niezależnie zastosować ją do tego samego stanu faktycznego."	operacyjna-definicja-archetypu
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	26	H4	Czy Pan dysponuje danymi empirycznymi — w formie badań eksperymentalnych, quasi-eksperymentalnych lub choćby studium przypadku z grupą kontrolną — potwierdzającymi, że zastosowanie metody Disinfolklore zwiększa odporność odbiorców na dezinformację?	dane-empiryczne-odpornosc-na-dezinformacje
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	27	H4	"Pan twierdzi, że dźwięk M-N stanowi „najistotniejsze odkrycie w lingwistyce indoeuropejskiej od czasów de Saussure'a"". Proszę wskazać, ilu profesorów lingwistyki indoeuropejskiej — choćby jeden — publicznie poparło to twierdzenie."	m-n-poparcie-lingwistow
D3	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25.html	d3-zamrozone-narzedzie-disinfolklore-swot-advocatus-v01_00-2026-03-25-anchory.html	28	H4	Proszę wskazać konkretny przypadek, w którym Pana metoda dałaby wynik fałszywie pozytywny — tj. zidentyfikowałaby jako Disinfolklore komunikat, który nim nie jest.	falszywie-pozytywny
